,uid,uid,pv,uid
baiziwanjiayuan/,1.0,1.0,,
baliqiaosiheyuan/,1.0,1.0,,
banbidianhaowenhuachanyeyuan/,1.0,1.0,,
banghebuluo/,6.0,6.0,1.0,1.0
banghuahuanqiumaoyizhongxin/,1.0,1.0,,
bantianshangwudasha/,2.0,2.0,,
bantianzhongxindasha/,1.0,1.0,,
baohuazhongxin/,,,1.0,1.0
baojieanjingmaozhongxin/,1.0,1.0,3.0,3.0
baojiezhigu/,2.0,2.0,2.0,2.0
baojinguojidasha/,6.0,6.0,1.0,1.0
baojisting/,1.0,1.0,,
baolanshijidasha/,1.0,1.0,,
baoliancheng/,1.0,1.0,,
baolidasha/,1.0,1.0,2.0,2.0
baolidongjun/,1.0,1.0,,
baoliguojiguangchang/,3.0,3.0,1.0,1.0
baolikeluowei/,1.0,1.0,,
baolishijiemaoyizhongxin/,2.0,2.0,,
baolizhongxinloft/,1.0,1.0,,
baolizhongyuguangchang/,,,1.0,1.0
baonengqichedalou/,1.0,1.0,2.0,2.0
baoshengguangchang/,1.0,1.0,,
baoshengshijizhongxin/,3.0,3.0,,
baoyekonggu/,1.0,1.0,,
baoyuanhuafengzongbujingjidasha/,1.0,1.0,,
baoyundayanfazonghelou/,1.0,1.0,,
basekaixuanlu/,3.0,3.0,2.0,2.0
baseqinzhoulu/,1.0,1.0,,
basesongyuanlu/,6.0,6.0,,
bdaqiyedadao/,2.0,2.0,,
beianchangfeng/,1.0,1.0,,
beidouchanyeyuan/,1.0,1.0,,
beifadasha/,1.0,1.0,,
beifanggongyedasha/,5.0,5.0,,
beifangjinrongdasha/,2.0,2.0,,
beifangmingzhudasha/,1.0,1.0,,
beihongqiaodianzishangwuzhihuichanyeyuan/,1.0,1.0,,
beijing/,1474.0,1469.0,22.0,22.0
beijingcaifuzhongxin/,1.0,1.0,,
beijingchuangyedasha/,1.0,1.0,,
beijingdashujujidi/,1.0,1.0,,
beijingdianyingxueyuanwenchuangyuan/,1.0,1.0,,
beijingfulizhongxin/,1.0,1.0,1.0,1.0
beijingfulundejiudian/,1.0,1.0,,
beijingguojijulebubangongdalou/,1.0,1.0,,
beijinghuixinxiezilou/,1.0,1.0,,
beijinginn/,1.0,1.0,,
beijingjiahuizhongxin/,7.0,7.0,,
beijingjiazhaoyeguangchang/,1.0,1.0,1.0,1.0
beijingjidianyanjiusuo/,3.0,3.0,,
beijingligongdaxueguofangkejiyuan/,5.0,5.0,,
beijinglingyilingmeishupeixunzhongxin/,1.0,1.0,,
beijinglink/,1.0,1.0,,
beijingshangjie/,1.0,1.0,,
beijingshixichengqujinshifangjiehao/,1.0,1.0,,
beijingwenchuangyuan/,16.0,16.0,,
beijingwenhuajinrongdasha/,3.0,3.0,1.0,1.0
beijingxinshijirihangfandianxiezilou/,1.0,1.0,,
beijingyanshazhongxin/,1.0,1.0,,
beijingyingkezhongxin/,1.0,1.0,,
beijingyuantongfazhanzhongxin/,2.0,2.0,,
beilingdasha/,1.0,1.0,,
beilinkejichanyeyuan/,4.0,4.0,1.0,1.0
beiqizichandasha/,,,1.0,1.0
beiruanshuangxinkechuangyuan/,1.0,1.0,,
beitekangpai/,1.0,1.0,,
beiwaihuanchuangyigang/,1.0,1.0,,
beiwuchuangxinyuan/,3.0,3.0,1.0,1.0
benzhenlou/,13.0,12.0,1.0,1.0
biboluhao/,1.0,1.0,,
bimuyuwenhuachuangyechanyeyuanqu/,1.0,1.0,,
binhaiweilingdasha/,3.0,3.0,,
bohaishangwulou/,1.0,1.0,,
bojichanyeyuan/,1.0,1.0,1.0,1.0
bojincheng/,2.0,2.0,2.0,2.0
boruidasha/,1.0,1.0,,
bosidengguojidasha/,1.0,1.0,,
botaigongkankejidasha/,1.0,1.0,,
boxingdasha/,7.0,7.0,2.0,2.0
boyacc/,2.0,2.0,,
boyawanshangwuzhongxin/,1.0,1.0,,
boyinguojidasha/,1.0,1.0,,
boyuandasha/,6.0,6.0,,
bozhizhongxin/,11.0,10.0,,
buluofangzhoudasha/,1.0,1.0,1.0,1.0
caidiehui/,1.0,1.0,,
caifuguangchang/,2.0,2.0,,
caifuguoji/,7.0,7.0,1.0,1.0
caifuzhongxin/,1.0,1.0,,
caihejiayedasha/,5.0,4.0,,
caihongkejidasha/,1.0,1.0,,
caimanjiecaijingzhongxin/,2.0,2.0,,
caishenghuoshidaiguangchang/,3.0,3.0,,
caitongdasha/,1.0,1.0,,
caogenchuangyeyuan/,11.0,11.0,1.0,1.0
caohejingkehuidasha/,1.0,1.0,,
caohejingruanjiandasha/,2.0,2.0,1.0,1.0
caoxibeiluhao/,4.0,4.0,1.0,1.0
changanguoji/,2.0,2.0,,
changanxiwangshangxing/,1.0,1.0,,
changbaodasha/,,,1.0,1.0
changchengjinrongdasha/,2.0,2.0,,
changdashangxia/,1.0,1.0,,
changfadasha/,1.0,1.0,,
changfugongzhongxin/,,,1.0,1.0
changhuidasha/,2.0,2.0,,
changjiangchuanmeidasha/,2.0,2.0,,
changjiangxinnengyuandasha/,3.0,3.0,,
changjiushangwuzhongxin/,2.0,2.0,,
changliugongyeyuan/,1.0,1.0,,
changlongguojiwenhuayuan/,17.0,16.0,4.0,3.0
changningdasha/,4.0,4.0,,
changningkejidalou/,2.0,2.0,,
changninglaifushiguangchang/,1.0,1.0,,
changningzhongxin/,6.0,6.0,1.0,1.0
changpingshangwudasha/,1.0,1.0,,
changshengshangwudasha/,1.0,1.0,,
changshixinxibangonglou/,1.0,1.0,,
changshouluhao/,8.0,8.0,,
changtaiguojiguangchang/,1.0,1.0,,
changxingliwenhuachanyechuangyiyuan/,27.0,26.0,8.0,8.0
changyindasha/,3.0,3.0,,
changyuandasha/,2.0,2.0,1.0,1.0
changyuantiandidasha/,1.0,1.0,,
chaoduoweikejidasha/,1.0,1.0,,
chaojifengchao/,14.0,14.0,2.0,2.0
chaolaikejiyuan/,1.0,1.0,,
chaoloftchuangyiyuan/,2.0,2.0,,
chaoqinghui/,2.0,2.0,,
chaowaimen/,,,1.0,1.0
chaowaisoho/,2.0,2.0,1.0,1.0
chaoyangdayuecheng/,4.0,4.0,1.0,1.0
cheliankongjian/,2.0,2.0,,
chengbaofandianpeilou/,1.0,1.0,,
chengdu/,674.0,668.0,13.0,12.0
chengduguojikejijienengdasha/,2.0,2.0,,
chengduqingyangwandaguangchang/,7.0,7.0,1.0,1.0
chengduwaimaodasha/,1.0,1.0,,
chengfengdasha/,2.0,2.0,,
chenghuidasha/,3.0,2.0,,
chengkaizhongxin/,2.0,2.0,,
chengnandadaoshangwuzhongxin/,1.0,1.0,,
chengshifazhandasha/,2.0,2.0,,
chengshikongjian/,1.0,1.0,,
chengshishanhaizhongxin/,4.0,4.0,,
chengshizhixin/,2.0,2.0,,
chengtoukonggudasha/,1.0,1.0,,
chengwudasha/,2.0,2.0,,
chengyuandasha/,1.0,1.0,,
chenxidasha/,1.0,1.0,,
chiliankechuangyuan/,1.0,1.0,,
chongliyuan/,1.0,1.0,,
chongxindasha/,1.0,1.0,,
chuangfukongjian/,4.0,4.0,2.0,2.0
chuangjiandasha/,1.0,1.0,,
chuangjinchuangyechanyeyuan/,9.0,9.0,,
chuangjinhao/,5.0,5.0,,
chuangjushangwudasha/,2.0,2.0,,
chuangkebangguanggujidi/,2.0,2.0,,
chuangkechaowenchuangyuan/,1.0,1.0,,
chuangqitiandi/,32.0,31.0,4.0,4.0
chuangrongjiatiandi/,1.0,1.0,,
chuangweidasha/,4.0,4.0,,
chuangxindasha/,1.0,1.0,,
chuangxinkongjian/,1.0,1.0,,
chuangyeluhao/,1.0,1.0,,
chuangyeyihao/,1.0,1.0,,
chuangyidasha/,1.0,1.0,,
chuangyidayuan/,1.0,1.0,,
chuangyispace/,1.0,1.0,,
chuangyispaceyuyuan/,1.0,1.0,,
chuangyixiaozhen/,1.0,1.0,,
chuangyiyuan/,3.0,3.0,,
chuangyizhongxin/,2.0,2.0,,
chuangzhitiandi/,1.0,1.0,,
chuanqiaoluhao/,1.0,1.0,,
chufengguojizhongxin/,65.0,65.0,9.0,9.0
clifangqingnianwenhuachuangyeyuan/,9.0,9.0,1.0,1.0
crdyinzuo/,1.0,1.0,,
cunjindasha/,1.0,1.0,,
cyunxiangji/,1.0,1.0,,
dabaodasha/,1.0,1.0,,
dachangshangwuzhongxin/,1.0,1.0,,
dachengdasha/,4.0,4.0,,
dachengguangchang/,1.0,1.0,,
dachengshidaishangwudasha/,1.0,1.0,,
dadishiji/,5.0,5.0,1.0,1.0
dadishishangwenhuachuangyiyuan/,1.0,1.0,,
dadishumagang/,1.0,1.0,,
dagaoguojiyishuqu/,1.0,1.0,,
dahecang/,7.0,7.0,2.0,2.0
dahuatiantandasha/,,,1.0,1.0
dalaidalou/,1.0,1.0,,
dalian/,78.0,77.0,7.0,7.0
daluguoji/,1.0,1.0,,
dameizhongxin/,2.0,2.0,,
daminggongshengyuanguangchang/,1.0,1.0,,
dangshengkeji/,3.0,3.0,,
daningchuangjingkongjian/,1.0,1.0,,
daningyinleguangchang/,1.0,1.0,,
daningzhongxinguangchang/,4.0,4.0,,
daozhoukechuangzongbushanghaipujiangchuangxinchuangyeyuan/,1.0,1.0,,
dawangludianyingchanyeyuan/,2.0,1.0,,
dawanglududong/,1.0,1.0,,
daxikechuangdasha/,1.0,1.0,,
daxinyinxingdasha/,1.0,1.0,,
daxuechengchuangkexiaozhen/,1.0,1.0,,
dayuangongyequ/,3.0,2.0,,
dayuanguojizhongxin/,1.0,1.0,,
dayunruanjianxiaozhen/,5.0,5.0,,
dazhongchuangyeyuan/,1.0,1.0,,
dazhuangguojiguangchang/,,,1.0,1.0
dazuguangchang/,7.0,7.0,,
dazukejizhongxin/,1.0,1.0,1.0,1.0
desaikejidasha/,2.0,2.0,,
deshengchangdasha/,1.0,1.0,,
deshengzhiye/,1.0,1.0,,
dexinshangwuzhongxin/,4.0,4.0,2.0,2.0
deyuanjiuhedasha/,1.0,1.0,,
diandongxingyuchuangyiyuan/,1.0,1.0,,
diankebinjiangzhongxin/,1.0,1.0,1.0,1.0
dianshishangwugongyuan/,1.0,1.0,,
didudasha/,6.0,6.0,1.0,1.0
didukejicheng/,1.0,1.0,,
dilongshangwulou/,1.0,1.0,,
dinghaishuangchuanggang/,1.0,1.0,,
dingjundasha/,1.0,1.0,,
dinglichuangyiyuan/,2.0,2.0,1.0,1.0
dingshengdasha/,1.0,1.0,,
dingyidasha/,1.0,1.0,,
dingyuanhongyidasha/,3.0,3.0,,
dioushidai/,3.0,3.0,,
disanzhiyedongyudasha/,1.0,1.0,,
diwangdasha/,3.0,3.0,,
dongbeiwangnanluhaoyuan/,2.0,2.0,1.0,1.0
dongchendasha/,3.0,3.0,,
dongfangguangchang/,2.0,2.0,,
dongfangguoji/,1.0,1.0,,
dongfangguoxindasha/,1.0,1.0,,
dongfanghuanqiuqiyezhongxin/,,,1.0,1.0
dongfanghuijingzhongxin/,1.0,1.0,,
dongfangjinrongyuan/,2.0,2.0,,
dongfangkejidasha/,5.0,5.0,,
dongfangkejiyuan/,1.0,1.0,,
dongfanglanhaiguojiguangchang/,2.0,2.0,,
dongfangmingzhushangwulou/,1.0,1.0,,
dongfangmingzhushewaishangwulou/,1.0,1.0,,
dongfangshangbochuangyichanyeyuan/,,,1.0,1.0
dongfangshijidasha/,1.0,1.0,,
dongfangwenchuangdasha/,2.0,2.0,,
dongfangxiwangtianxiangguangchang/,1.0,1.0,,
dongfangyinzuo/,1.0,1.0,,
dongfengkaso/,3.0,3.0,,
dongfengnanluwuhaoyuan/,1.0,1.0,,
dongfengnanluyihaoyuan/,5.0,5.0,2.0,2.0
dongfengshangwugu/,15.0,15.0,3.0,3.0
dongguyinzuo/,2.0,2.0,,
donghaishangyezhongxin/,1.0,1.0,,
donghangbinjiangzhongxin/,35.0,35.0,6.0,6.0
donghaoyishuzhongxin/,1.0,1.0,,
donghengguoji/,2.0,2.0,,
donghongguojiguangchang/,2.0,2.0,,
donghuandasha/,1.0,1.0,,
donghuangchenggendudong/,1.0,1.0,,
donghuanguojidasha/,1.0,1.0,,
dongjiadasha/,1.0,1.0,,
dongjinhaowenhuachuangyiyuan/,10.0,10.0,2.0,2.0
dongliandasha/,1.0,1.0,,
dongliguojiguangchang/,2.0,2.0,,
donglongdasha/,5.0,4.0,1.0,1.0
dongmingdasha/,1.0,1.0,,
dongmingxuanjiaoyucheng/,3.0,3.0,1.0,1.0
dongqingdasha/,7.0,5.0,2.0,1.0
dongruidasha/,1.0,1.0,,
dongshuoshangwuzhongxin/,4.0,4.0,,
dongsigongxiangji/,2.0,2.0,,
dongtiandasha/,2.0,2.0,,
dongwaihao/,1.0,1.0,,
dongyiguojichuanmeichanyeyuan/,1.0,1.0,,
dongyuandasha/,1.0,1.0,,
dongyueshangyedasha/,1.0,1.0,,
dongyushangwucaifuyuan/,1.0,1.0,,
drcwaijiaobangongdalou/,2.0,2.0,,
duhuiluhao/,2.0,2.0,,
dunnudasha/,6.0,6.0,2.0,2.0
duoligongyeyuan/,1.0,1.0,,
dushizhimen/,2.0,2.0,,
dushizongbudalou/,1.0,1.0,,
echuangxingongchang/,1.0,1.0,1.0,1.0
ecozhongkeaike/,1.0,1.0,,
edasha/,1.0,1.0,,
edianzishangwuchuangxinyuan/,6.0,5.0,1.0,1.0
enwadedasha/,1.0,1.0,,
eshijiecaifuzhongxin/,1.0,1.0,,
etongshijiehongqiaoyuanxiqu/,1.0,1.0,,
fanghengguojizhongxin/,2.0,2.0,,
fanghengshishangzhongxin/,1.0,1.0,,
fangzhengguojidasha/,1.0,1.0,,
fangzhoudasha/,7.0,7.0,,
fantaipingyangdasha/,1.0,1.0,,
fanyuezhongxin/,9.0,9.0,,
fanyulunong/,1.0,1.0,,
fazhanzhongxindasha/,1.0,1.0,,
feidiaoguojidasha/,1.0,1.0,,
feimalvcenteryuanqu/,1.0,1.0,1.0,1.0
fengbaohengdasha/,1.0,1.0,,
fengheluhao/,1.0,1.0,,
fenghuangcheng/,4.0,4.0,,
fengkegongchuangkongjian/,1.0,1.0,,
fengkewandaguangchang/,3.0,3.0,,
fenglanguojizhongxin/,4.0,4.0,1.0,1.0
fenglinguojidasha/,6.0,6.0,5.0,5.0
fengqishidaidasha/,1.0,1.0,,
fengshengchuangjiandasha/,1.0,1.0,,
fengshushangyecheng/,4.0,4.0,2.0,2.0
fengtaikejiyuanchuangxindasha/,1.0,1.0,,
fengtaizhongxin/,13.0,13.0,6.0,6.0
fengtiankejichuangxinchanyeyuan/,1.0,1.0,,
fenjunkejidasha/,1.0,1.0,1.0,1.0
fucangwenhuachuangyeyuan/,,,1.0,1.0
fuchengdasha/,4.0,3.0,1.0,1.0
fudanruanjianyuan/,1.0,1.0,,
fudichuangyeyuan/,3.0,3.0,,
fudizhonghuantiandi/,1.0,1.0,,
fudunzhongxin/,2.0,2.0,,
fuhaixinxigang/,2.0,2.0,,
fuhuahongyandasha/,2.0,2.0,,
fuhuashangmaodasha/,1.0,1.0,,
fujiandasha/,1.0,1.0,,
fukesichuangxinyuan/,1.0,1.0,,
fulidasha/,18.0,17.0,2.0,1.0
fulindasha/,1.0,1.0,,
fuliyingkaiguangchang/,2.0,2.0,,
fuliyinglidashamogen/,2.0,2.0,,
fuliyingtai/,1.0,1.0,,
fulizhendasha/,2.0,2.0,,
fulongdasha/,1.0,1.0,,
fumaoshangwukongjian/,3.0,3.0,,
fumatedasha/,1.0,1.0,,
fuqidianshangyuan/,6.0,6.0,4.0,4.0
fuqizhihuiyuan/,2.0,2.0,,
furongdasha/,1.0,1.0,,
futengguojichuangkezhongxin/,30.0,29.0,5.0,5.0
futianchuangyiwenhuayuan/,11.0,11.0,1.0,1.0
fuweikedasha/,3.0,3.0,,
fuxingguoji/,1.0,1.0,,
fuyangluchanyeyuan/,1.0,1.0,,
fuyineozhongxin/,6.0,6.0,1.0,1.0
fuyudingdasha/,2.0,2.0,,
fuzhouluhaodalou/,2.0,2.0,1.0,1.0
gangandasha/,,,1.0,1.0
gangaozhongxin/,2.0,2.0,,
ganghuidasha/,1.0,1.0,,
ganghuizhongxin/,,,1.0,1.0
gangtaiguangchang/,3.0,3.0,,
gaobeidianbeihuayuanjie/,2.0,1.0,,
gaobeidiandongqu/,1.0,1.0,,
gaodedasha/,1.0,1.0,,
gaodezhidiguangchang/,4.0,4.0,,
gaodizhongxin/,5.0,5.0,,
gaojiachanghao/,1.0,1.0,,
gaojukechuangyuan/,1.0,1.0,,
gaolandasha/,4.0,4.0,,
gaoshanglingyu/,2.0,2.0,1.0,1.0
gaoxinjishuchanyeyuan/,2.0,2.0,,
gaoxinqizhanluexinxingchanyeyuan/,2.0,2.0,,
gaoxundasha/,6.0,6.0,1.0,1.0
gaoyangshangwuzhongxin/,1.0,1.0,,
gaoyoushangwuzhongxin/,1.0,1.0,,
gaozhidasha/,2.0,2.0,,
gefeizhongxin/,12.0,12.0,,
geleizhongchuangyuan/,1.0,1.0,,
gelinhaotaibangongzongbu/,2.0,2.0,,
gelinshangwudasha/,2.0,1.0,,
gelisichanyeyuan/,1.0,1.0,,
getangdianshangyuan/,5.0,4.0,,
gkupaizhinengchanyeyuan/,6.0,5.0,,
gongheshangwuhuayuan/,3.0,3.0,,
gongshangliandasha/,1.0,1.0,,
gongxiaoguoji/,1.0,1.0,,
gongyuandasha/,4.0,4.0,,
gongyuanshangwulou/,1.0,1.0,,
guangbaixinyidasha/,2.0,1.0,,
guangchang/,2.0,2.0,,
guangdaguoxindasha/,3.0,3.0,,
guangdahuizhanzhongxin/,2.0,2.0,,
guangdajinrongzhongxin/,1.0,1.0,,
guangdajinrongzhongxindasha/,1.0,1.0,,
guangdanshangyeguangchang/,1.0,1.0,,
guangdonggongmeikechuangxiaozhen/,2.0,2.0,1.0,1.0
guangdongnuoyafangzhoudianzishangwuchanyeyuan/,1.0,1.0,,
guangfadasha/,2.0,2.0,,
guangguchuangyidasha/,1.0,1.0,,
guangguguojiqiyezhongxin/,2.0,2.0,1.0,1.0
guangguruanjianyuan/,2.0,2.0,,
guangguruanjianyuanecheng/,1.0,1.0,,
guangguxindongli/,,,1.0,1.0
guangguxinduhui/,1.0,1.0,,
guangguxinshijie/,10.0,10.0,1.0,1.0
guangguzongbuguoji/,1.0,1.0,,
guanghaoguojizhongxin/,1.0,1.0,,
guanghuachangandasha/,1.0,1.0,,
guanghuachuangyeyuan/,2.0,2.0,,
guanghualusoho/,2.0,2.0,,
guangjiluhao/,1.0,1.0,,
guangmingdichandasha/,9.0,9.0,1.0,1.0
guangwuzhongxin/,13.0,12.0,,
guangyaodongfangzhongxin/,1.0,1.0,,
guangzhou/,284.0,263.0,27.0,21.0
guangzhoubaolizhongxin/,,,1.0,1.0
guangzhouguojimaoyizhongxin/,1.0,1.0,,
guangzhoulvdizhongyangguangchang/,1.0,1.0,,
guangzhoumeidongdashaxiezilou/,1.0,1.0,,
guangzhouminjianjinrongdasha/,1.0,1.0,,
guangzhouzhoudafujinrongzhongxindongta/,1.0,1.0,,
guanhuadasha/,1.0,1.0,,
guanhuguojidudong/,1.0,1.0,,
guanjiedasha/,3.0,3.0,1.0,1.0
guanlanguoji/,,,1.0,1.0
guanlongcundiyigongyequ/,1.0,1.0,,
guannanfuxingyiyaoyuan/,8.0,8.0,3.0,3.0
guanyintangwenhuachanyeyuan/,1.0,1.0,,
guiduguojizhongxin/,1.0,1.0,,
guiguoyuan/,1.0,1.0,,
guipingyuan/,1.0,1.0,,
guiqingyuan/,2.0,2.0,,
guiyangluhao/,,,1.0,1.0
guoaocundudong/,1.0,1.0,,
guochuangchanyeyuan/,3.0,3.0,1.0,1.0
guodongloft/,1.0,1.0,,
guofeidasha/,1.0,1.0,,
guohangshijizhongxin/,1.0,1.0,,
guohuadasha/,1.0,1.0,,
guohuatouzidasha/,1.0,1.0,,
guojiahuizhanzhongxin/,2.0,2.0,,
guojiaxinshijie/,9.0,8.0,1.0,1.0
guojigang/,1.0,1.0,,
guojihuayuan/,1.0,1.0,,
guojihulianwangjinrongchuangyezhongxin/,1.0,1.0,,
guojinzhongxin/,2.0,2.0,1.0,1.0
guojishanghuidasha/,1.0,1.0,,
guojishangxiashangwulou/,1.0,1.0,,
guojishangyedasha/,1.0,1.0,,
guojishejiyuan/,1.0,1.0,,
guojiziyuandasha/,4.0,4.0,1.0,1.0
guolekejiyuan/,4.0,4.0,1.0,1.0
guomaodasha/,1.0,1.0,,
guopengdasha/,6.0,6.0,1.0,1.0
guoruijinding/,2.0,2.0,,
guoshengkejiyuan/,4.0,4.0,1.0,1.0
guotengkejiyuan/,2.0,2.0,,
guotongdasha/,2.0,2.0,,
guotoucaifuguangchang/,1.0,1.0,,
guotuwenhuadasha/,4.0,4.0,1.0,1.0
gutedasha/,1.0,1.0,,
gy/,1.0,1.0,,
haiancheng/,2.0,2.0,,
haianluhao/,3.0,3.0,,
haianshidaidasha/,1.0,1.0,,
haianzhongxin/,2.0,2.0,,
haibodalou/,1.0,1.0,,
haidianwenhuayishudasha/,1.0,1.0,,
haidianxiezilou/,,,1.0,1.0
haidianxinjishudasha/,1.0,1.0,,
haifadasha/,1.0,1.0,,
haifengshangwulou/,2.0,2.0,,
haihangshiyedasha/,1.0,1.0,,
haihongkechuang/,2.0,2.0,,
haijiadasha/,3.0,3.0,,
hailanchuangzhitiandi/,2.0,2.0,,
hailanyunhekechuangzhongxin/,1.0,1.0,,
hailidalou/,5.0,5.0,1.0,1.0
hailunzhongxin/,1.0,1.0,,
hainabangongqu/,1.0,1.0,,
haishangshuohecheng/,1.0,1.0,,
haitaidasha/,1.0,1.0,,
haiteguojiguangchang/,2.0,2.0,,
haitongdasha/,1.0,1.0,,
haiwaizhuangshidasha/,1.0,1.0,,
haiweidasha/,1.0,1.0,,
haiwenshangwulou/,1.0,1.0,,
haixiaguojidasha/,15.0,15.0,5.0,5.0
haiyangdasha/,6.0,6.0,,
haiyangshiyoudasha/,1.0,1.0,,
haiyundasha/,1.0,1.0,,
haiyunguojidasha/,1.0,1.0,,
haizhichuangyemao/,2.0,2.0,,
haizhouxinxizhongxin/,5.0,5.0,2.0,2.0
haloguangchang/,5.0,5.0,3.0,3.0
hanggangguojidasha/,2.0,2.0,,
hanghuidasha/,2.0,2.0,1.0,1.0
hangtiandasha/,1.0,1.0,,
hangtiankejidasha/,1.0,1.0,,
hangtianwuzidasha/,1.0,1.0,,
hangxingshangwudalou/,1.0,1.0,,
hangzhou/,198.0,158.0,26.0,16.0
hangzhouluhao/,3.0,3.0,,
hangzhourengongzhinengchanyeyuan/,21.0,20.0,4.0,4.0
hangzhoushuyudasha/,2.0,2.0,,
hangzhoushuzixinxichanyeyuan/,10.0,10.0,1.0,1.0
hangzhouxintiandishangzuo/,2.0,2.0,,
hangzhouyuanyangguojizhongxin/,1.0,1.0,,
hanhaichangchengdasha/,1.0,1.0,,
hankongjian/,,,1.0,1.0
hantaihuaxiezilou/,1.0,1.0,,
haopulaidifushiguangchang/,1.0,1.0,,
haoshengshangwuzhongxin/,1.0,1.0,,
haoweidasha/,1.0,1.0,,
haoxiaozhenchuangyiyuan/,2.0,2.0,,
haoyongwuyexiezilou/,2.0,2.0,,
haoyunlaishangwudasha/,2.0,2.0,1.0,1.0
hchilunchang/,1.0,1.0,,
heanbaoshangyedasha/,1.0,1.0,,
hechuandasha/,1.0,1.0,,
hemeiguojidasha/,6.0,6.0,1.0,1.0
hengchaodasha/,6.0,5.0,,
hengfengdasha/,1.0,1.0,,
hengjimingrenshangyedasha/,5.0,5.0,,
hengshengdianshangyuan/,3.0,3.0,1.0,1.0
hengshengkejiyuan/,1.0,1.0,,
hengtaizhongxin/,2.0,2.0,,
hengtongweiyedasha/,1.0,1.0,,
hengtongxiezilou/,3.0,3.0,,
hengxiangdasha/,1.0,1.0,,
hengyidasha/,4.0,4.0,,
hengyilou/,1.0,1.0,,
hengyuandasha/,7.0,7.0,,
hengyuehuadingguangchang/,2.0,2.0,,
hepingdasha/,2.0,2.0,,
heqiaodasha/,2.0,2.0,,
heruikejiyuan/,9.0,9.0,2.0,2.0
herunguangchang/,1.0,1.0,,
heshengdasha/,1.0,1.0,,
heshenggongyeyuan/,1.0,1.0,,
heshengguojihuayuan/,1.0,1.0,,
heshengjingguangzhongxin/,2.0,2.0,,
heshengqilinxintiandi/,1.0,1.0,,
hexiangxiaozhenchuangyiyuan/,1.0,1.0,,
hexiehangdian/,2.0,1.0,,
hexingchuangkezhongxin/,1.0,1.0,,
heyeguangchang/,,,1.0,1.0
heyungu/,14.0,13.0,3.0,3.0
hezhenghuiyichengxiezilou/,1.0,1.0,1.0,1.0
hezhongtiancheng/,1.0,1.0,,
homexwudaokoujiasuqi/,1.0,1.0,,
hongchangguangchang/,2.0,2.0,1.0,1.0
hongdecairunguojidasha/,1.0,1.0,,
hongfenghuahulianwangchuangyiyuan/,9.0,9.0,3.0,3.0
honghezichuangyiyuan/,1.0,1.0,,
honghezilianhebangong/,3.0,3.0,1.0,1.0
honghuichuangxianghui/,1.0,1.0,,
honghuiguojiguangchang/,1.0,1.0,,
honghuimengzhiyuan/,4.0,4.0,1.0,1.0
honghuishijiebox/,12.0,12.0,,
honghuiyinyuewan/,2.0,2.0,,
hongkouxinyefangchuangyishangwuyuan/,2.0,2.0,,
hongkunguangchang/,2.0,2.0,,
hongkunjinronggu/,1.0,1.0,,
hongkunyunshidai/,2.0,2.0,2.0,2.0
hongmaoshangwudasha/,3.0,3.0,,
hongnantouzidasha/,1.0,1.0,,
hongqiaohui/,,,1.0,1.0
hongqiaolibaoguangchang/,1.0,1.0,1.0,1.0
hongqiaowankezhongxin/,1.0,1.0,,
hongqiaowantongzhongxin/,1.0,1.0,,
