城市	区域名称	房源数	url
德宏德宏傣族景颇族自治州	瑞丽	80	http://dehong.ganji.com/fang1/ruili/
德宏德宏傣族景颇族自治州	盈江	33	http://dehong.ganji.com/fang1/yingjiang/
怒江傈傈族自治州	泸水	22	http://nujiang.ganji.com/fang1/lushui/
文山县	文山市	207	http://wenshan.ganji.com/fang1/wenshan/
文山县	丘北	19	http://wenshan.ganji.com/fang1/qiubei/
文山县	广南	12	http://wenshan.ganji.com/fang1/guangnan/
昆明	五华	26409	http://km.ganji.com/fang1/wuhua/
昆明	盘龙	22606	http://km.ganji.com/fang1/panlong/
昆明	官渡	13250	http://km.ganji.com/fang1/guandu/
昆明	西山	20475	http://km.ganji.com/fang1/xishan/
昆明	东川	13	http://km.ganji.com/fang1/dongchuan/
昆明	安宁	455	http://km.ganji.com/fang1/anning/
昆明	呈贡	1686	http://km.ganji.com/fang1/chenggong/
昆明	晋宁	32	http://km.ganji.com/fang1/jinning/
昆明	宜良	24	http://km.ganji.com/fang1/yiliang/
昆明	嵩明	50	http://km.ganji.com/fang1/songming/
昆明	石林	33	http://km.ganji.com/fang1/shilin/
昆明	禄劝	50	http://km.ganji.com/fang1/luquan/
昆明	寻甸	12	http://km.ganji.com/fang1/xundian/
昭通	昭阳	2701	http://zhaotong.ganji.com/fang1/zhaoyang/
昭通	水富	14	http://zhaotong.ganji.com/fang1/shuifu/
普洱哈尼族彝族自治县	思茅	158	http://puer.ganji.com/fang1/maosi/
曲靖	麒麟	33137	http://qujing.ganji.com/fang1/qilin/
曲靖	宣威	27	http://qujing.ganji.com/fang1/xuanwei/
曲靖	陆良	20	http://qujing.ganji.com/fang1/luliang/
曲靖	师宗	10	http://qujing.ganji.com/fang1/shizong/
曲靖	会泽	17	http://qujing.ganji.com/fang1/huize/
曲靖	沾益	12	http://qujing.ganji.com/fang1/zhayi/
楚雄	楚雄市	2817	http://chuxiong.ganji.com/fang1/chuxiong/
楚雄	武定	10	http://chuxiong.ganji.com/fang1/wuding/
楚雄	禄丰	11	http://chuxiong.ganji.com/fang1/lufeng/
玉溪	红塔	23445	http://yuxi.ganji.com/fang1/hongta/
玉溪	通海	29	http://yuxi.ganji.com/fang1/tonghai/
红河县	蒙自	230	http://honghe.ganji.com/fang1/mengzi/
红河县	个旧	118	http://honghe.ganji.com/fang1/gejiu/
红河县	开远	92	http://honghe.ganji.com/fang1/kaiyuan/
红河县	建水	50	http://honghe.ganji.com/fang1/jianshui/
红河县	弥勒	43	http://honghe.ganji.com/fang1/mile/
红河县	泸西	14	http://honghe.ganji.com/fang1/luxi/
红河县	红河县	50	http://honghe.ganji.com/fang1/honghe/
西双版纳傣族自治州	景洪	9011	http://xishuangbanna.ganji.com/fang1/jinghong/
西双版纳傣族自治州	勐海	36	http://xishuangbanna.ganji.com/fang1/menghai/
西双版纳傣族自治州	勐腊	18	http://xishuangbanna.ganji.com/fang1/mengla/
迪庆迪庆藏族自治州	香格里拉	28	http://diqing.ganji.com/fang1/xianggelila/
乌兰察布盟	集宁	803	http://wulanchabu.ganji.com/fang1/jining/
乌兰察布盟	丰镇	15	http://wulanchabu.ganji.com/fang1/fengzhenshi/
乌兰察布盟	兴和	12	http://wulanchabu.ganji.com/fang1/xinghe/
乌海	海勃湾	1854	http://wuhai.ganji.com/fang1/haibowan/
乌海	海南	42	http://wuhai.ganji.com/fang1/hainan/
乌海	乌达	76	http://wuhai.ganji.com/fang1/wuda/
兴安盟	乌兰浩特	1080	http://xingan.ganji.com/fang1/wulanhaote/
兴安盟	阿尔山	13	http://xingan.ganji.com/fang1/aershan/
兴安盟	科尔沁右翼前	50	http://xingan.ganji.com/fang1/keerqinyouyiqian/
兴安盟	扎赉特	13	http://xingan.ganji.com/fang1/zhalaite/
包头	昆都仑	15262	http://baotou.ganji.com/fang1/kundoulun/
包头	东河	4424	http://baotou.ganji.com/fang1/donghe/
包头	青山	7713	http://baotou.ganji.com/fang1/qingshan/
包头	石拐	17	http://baotou.ganji.com/fang1/shiguai/
包头	九原	431	http://baotou.ganji.com/fang1/jiuyuan/
包头	土默特右	175	http://baotou.ganji.com/fang1/tumoteyou/
包头	固阳	10	http://baotou.ganji.com/fang1/guyang/
呼伦贝尔	海拉尔	1453	http://hulunbeier.ganji.com/fang1/hailaer/
呼伦贝尔	满洲里	92	http://hulunbeier.ganji.com/fang1/manzhouli/
呼伦贝尔	牙克石	97	http://hulunbeier.ganji.com/fang1/yakeshi/
呼伦贝尔	扎兰屯	59	http://hulunbeier.ganji.com/fang1/zhalantun/
呼伦贝尔	阿荣	12	http://hulunbeier.ganji.com/fang1/arong/
呼和浩特	回民	14222	http://nmg.ganji.com/fang1/huimin/
呼和浩特	新城	8449	http://nmg.ganji.com/fang1/xincheng/
呼和浩特	玉泉	4436	http://nmg.ganji.com/fang1/yuquan/
呼和浩特	赛罕	8224	http://nmg.ganji.com/fang1/saihan/
呼和浩特	土默特左	34	http://nmg.ganji.com/fang1/tumotezuo/
呼和浩特	托克托	12	http://nmg.ganji.com/fang1/tuoketuo/
呼和浩特	和林格尔	47	http://nmg.ganji.com/fang1/helingeer/
呼和浩特	武川	19	http://nmg.ganji.com/fang1/wuchuan/
巴彦淖尔	临河	2247	http://bayannaoer.ganji.com/fang1/linhe/
巴彦淖尔	五原	26	http://bayannaoer.ganji.com/fang1/wuyuan/
巴彦淖尔	磴口	13	http://bayannaoer.ganji.com/fang1/dengkou/
巴彦淖尔	乌拉特前	50	http://bayannaoer.ganji.com/fang1/wulateqian/
巴彦淖尔	乌拉特中	10	http://bayannaoer.ganji.com/fang1/wulatezhong/
巴彦淖尔	乌拉特后	12	http://bayannaoer.ganji.com/fang1/wulatehou/
巴彦淖尔	杭锦后	50	http://bayannaoer.ganji.com/fang1/hangjinhou/
赤峰	红山	4660	http://chifeng.ganji.com/fang1/hongshan/
赤峰	元宝山	50	http://chifeng.ganji.com/fang1/yuanbaoshan/
赤峰	松山	1560	http://chifeng.ganji.com/fang1/songshan/
赤峰	阿鲁科尔沁	10	http://chifeng.ganji.com/fang1/alukeerqin/
赤峰	巴林左	11	http://chifeng.ganji.com/fang1/balinzuo/
赤峰	巴林右	14	http://chifeng.ganji.com/fang1/balinyou/
赤峰	林西	16	http://chifeng.ganji.com/fang1/linxi/
赤峰	克什克腾	13	http://chifeng.ganji.com/fang1/keshinketeng/
赤峰	翁牛特	41	http://chifeng.ganji.com/fang1/wengniute/
赤峰	喀喇沁	38	http://chifeng.ganji.com/fang1/kalaqin/
赤峰	宁城	39	http://chifeng.ganji.com/fang1/ningcheng/
赤峰	敖汉	20	http://chifeng.ganji.com/fang1/aohan/
通辽	科尔沁	5840	http://tongliao.ganji.com/fang1/keerqin/
通辽	霍林郭勒	18	http://tongliao.ganji.com/fang1/huolinguoleshi/
通辽	科尔沁左翼中	11	http://tongliao.ganji.com/fang1/keerqinzuoyizhong/
通辽	开鲁	15	http://tongliao.ganji.com/fang1/kailu/
通辽	库伦	11	http://tongliao.ganji.com/fang1/kulun/
通辽	奈曼	11	http://tongliao.ganji.com/fang1/naiman/
鄂尔多斯	东胜	9734	http://eerduosi.ganji.com/fang1/dongsheng/
鄂尔多斯	达拉特	108	http://eerduosi.ganji.com/fang1/dalate/
鄂尔多斯	准格尔	256	http://eerduosi.ganji.com/fang1/zhungeer/
鄂尔多斯	鄂托克前	11	http://eerduosi.ganji.com/fang1/etuokeqian/
鄂尔多斯	鄂托克	22	http://eerduosi.ganji.com/fang1/etuoke/
鄂尔多斯	杭锦	24	http://eerduosi.ganji.com/fang1/hangjin/
鄂尔多斯	乌审	25	http://eerduosi.ganji.com/fang1/wushen/
鄂尔多斯	伊金霍洛	174	http://eerduosi.ganji.com/fang1/yijinhuoluo/
锡林郭勒盟	二连浩特	20	http://xilinguole.ganji.com/fang1/erlianhaote/
锡林郭勒盟	锡林浩特	526	http://xilinguole.ganji.com/fang1/xilinhaote/
锡林郭勒盟	多伦	19	http://xilinguole.ganji.com/fang1/duolun/
阿拉善盟	阿拉善左	50	http://alashan.ganji.com/fang1/alashanzuo/
阿拉善盟	额济纳	15	http://alashan.ganji.com/fang1/ejina/
吉林	船营区	3280	http://jilin.ganji.com/fang1/chuanyingqu/
吉林	昌邑区	2188	http://jilin.ganji.com/fang1/changyiqu/
吉林	龙潭区	519	http://jilin.ganji.com/fang1/longtanqu/
吉林	丰满区	1232	http://jilin.ganji.com/fang1/fengmanqu/
吉林	蛟河	27	http://jilin.ganji.com/fang1/jiaohe/
吉林	桦甸	31	http://jilin.ganji.com/fang1/huadian/
吉林	舒兰	26	http://jilin.ganji.com/fang1/shulan/
吉林	磐石	22	http://jilin.ganji.com/fang1/panshi/
吉林	永吉	35	http://jilin.ganji.com/fang1/yongji/
四平	铁西区	1612	http://siping.ganji.com/fang1/tiexiqu/
四平	铁东区	709	http://siping.ganji.com/fang1/tiedongqu/
四平	公主岭	121	http://siping.ganji.com/fang1/gongzhuling/
四平	梨树	32	http://siping.ganji.com/fang1/lishu/
四平	伊通	14	http://siping.ganji.com/fang1/yitong/
延边朝鲜族自治州	延吉	1248	http://yanbian.ganji.com/fang1/yanji/
延边朝鲜族自治州	图们	19	http://yanbian.ganji.com/fang1/tumen/
延边朝鲜族自治州	敦化	38	http://yanbian.ganji.com/fang1/dunhua/
延边朝鲜族自治州	珲春	135	http://yanbian.ganji.com/fang1/huichun/
延边朝鲜族自治州	安图	15	http://yanbian.ganji.com/fang1/antu/
松原	宁江区	275	http://songyuan.ganji.com/fang1/ningjiangqu/
松原	乾安	11	http://songyuan.ganji.com/fang1/qianan/
松原	扶余	10	http://songyuan.ganji.com/fang1/fuyu/
松原	前郭尔罗斯	386	http://songyuan.ganji.com/fang1/qianguoerluosi/
白城	洮北区	208	http://baicheng.ganji.com/fang1/taobeiqu/
白城	洮南	19	http://baicheng.ganji.com/fang1/taonan/
白城	大安	26	http://baicheng.ganji.com/fang1/daan/
白城	通榆	13	http://baicheng.ganji.com/fang1/tongyu/
白山	八道江区	492	http://baishan.ganji.com/fang1/badaojiangqu/
白山	江源区	24	http://baishan.ganji.com/fang1/jiangyuanqu/
白山	抚松县	11	http://baishan.ganji.com/fang1/fusongxian/
辽源	龙山区	269	http://liaoyuan.ganji.com/fang1/longshanqu/
辽源	西安区	20	http://liaoyuan.ganji.com/fang1/xianqu/
辽源	东丰	15	http://liaoyuan.ganji.com/fang1/dongfeng/
通化	东昌区	520	http://tonghua.ganji.com/fang1/dongchangqu/
通化	二道江区	27	http://tonghua.ganji.com/fang1/erdaojiangqu/
通化	梅河口	47	http://tonghua.ganji.com/fang1/meihekou/
通化	通化县	29	http://tonghua.ganji.com/fang1/tonghuaxian/
通化	柳河	13	http://tonghua.ganji.com/fang1/liuhe/
长春	朝阳	16166	http://cc.ganji.com/fang1/chaoyang/
长春	南关	8563	http://cc.ganji.com/fang1/nanguan/
长春	宽城	6218	http://cc.ganji.com/fang1/kuancheng/
长春	二道	6096	http://cc.ganji.com/fang1/erdao/
长春	绿园	6524	http://cc.ganji.com/fang1/lvyuan/
长春	双阳	68	http://cc.ganji.com/fang1/shuangyang/
长春	其他	44	http://cc.ganji.com/fang1/qita/
长春	德惠	50	http://cc.ganji.com/fang1/dehui/
长春	九台	64	http://cc.ganji.com/fang1/jiutai/
长春	榆树	27	http://cc.ganji.com/fang1/yushu/
长春	农安	60	http://cc.ganji.com/fang1/nongan/
乐山	市中	37178	http://leshan.ganji.com/fang1/shizhong/
乐山	五通桥	31	http://leshan.ganji.com/fang1/wutongqiao/
乐山	峨眉山	255	http://leshan.ganji.com/fang1/emeishan/
乐山	犍为	27	http://leshan.ganji.com/fang1/jianwei/
乐山	夹江	16	http://leshan.ganji.com/fang1/jiajiang/
内江	市中	22322	http://neijiang.ganji.com/fang1/shizhong/
内江	东兴	48481	http://neijiang.ganji.com/fang1/dongxing/
内江	威远	96	http://neijiang.ganji.com/fang1/weiyuan/
内江	资中	101	http://neijiang.ganji.com/fang1/zizhong/
内江	隆昌	386	http://neijiang.ganji.com/fang1/longchang/
凉山州	西昌	2556	http://liangshan.ganji.com/fang1/xichang/
凉山州	会理	15	http://liangshan.ganji.com/fang1/huili/
南充	顺庆	6283	http://nanchong.ganji.com/fang1/shunqing/
南充	高坪	294	http://nanchong.ganji.com/fang1/gaoping/
南充	嘉陵	279	http://nanchong.ganji.com/fang1/jialing/
南充	阆中	75	http://nanchong.ganji.com/fang1/langzhong/
南充	南部	50	http://nanchong.ganji.com/fang1/nanbu/
南充	营山	50	http://nanchong.ganji.com/fang1/yingshan/
南充	蓬安	38	http://nanchong.ganji.com/fang1/pengan/
南充	仪陇	17	http://nanchong.ganji.com/fang1/yilong/
南充	西充	28	http://nanchong.ganji.com/fang1/xichong/
宜宾	翠屏	88929	http://yibin.ganji.com/fang1/cuiping/
宜宾	宜宾县	648	http://yibin.ganji.com/fang1/yibin/
宜宾	南溪	38	http://yibin.ganji.com/fang1/nanxi/
宜宾	江安	43	http://yibin.ganji.com/fang1/jiangan/
宜宾	长宁	32	http://yibin.ganji.com/fang1/zhangning/
宜宾	高县	33	http://yibin.ganji.com/fang1/gaoxian/
宜宾	珙县	33	http://yibin.ganji.com/fang1/gongxian/
宜宾	筠连	22	http://yibin.ganji.com/fang1/junlian/
宜宾	兴文	13	http://yibin.ganji.com/fang1/xingwen/
宜宾	屏山	43	http://yibin.ganji.com/fang1/pingshan/
巴中	巴州	1815	http://bazhong.ganji.com/fang1/bazhou/
巴中	通江	38	http://bazhong.ganji.com/fang1/tongjiang/
巴中	南江	25	http://bazhong.ganji.com/fang1/nanjiang/
巴中	平昌	50	http://bazhong.ganji.com/fang1/pingchang/
广元	市中	1329	http://guangyuan.ganji.com/fang1/shizhong/
广元	元坝	21	http://guangyuan.ganji.com/fang1/yuanba/
广元	旺苍	46	http://guangyuan.ganji.com/fang1/wangcang/
广元	青川	12	http://guangyuan.ganji.com/fang1/qingchuan/
广元	剑阁	43	http://guangyuan.ganji.com/fang1/jiange/
广元	苍溪	24	http://guangyuan.ganji.com/fang1/cangxi/
广安	广安区	137	http://guangan.ganji.com/fang1/guangan/
广安	华蓥	44	http://guangan.ganji.com/fang1/huaying/
广安	岳池	72	http://guangan.ganji.com/fang1/yuechi/
广安	武胜	50	http://guangan.ganji.com/fang1/wusheng/
广安	邻水	64	http://guangan.ganji.com/fang1/linshui/
广安	广安城南	297	http://guangan.ganji.com/fang1/guanganchengnan/
广安	广安城北	52	http://guangan.ganji.com/fang1/guanganchengbei/
德阳	旌阳	6224	http://deyang.ganji.com/fang1/jingyang/
德阳	广汉	404	http://deyang.ganji.com/fang1/guanghan/
德阳	什邡	50	http://deyang.ganji.com/fang1/shenfang/
德阳	绵竹	55	http://deyang.ganji.com/fang1/mianzhu/
德阳	罗江	38	http://deyang.ganji.com/fang1/luojiang/
德阳	中江	169	http://deyang.ganji.com/fang1/zhongjiang/
成都	青羊	20700	http://cd.ganji.com/fang1/qingyang/
成都	锦江	14659	http://cd.ganji.com/fang1/jinjiang/
成都	金牛	14801	http://cd.ganji.com/fang1/jinniu/
成都	武侯	27126	http://cd.ganji.com/fang1/wuhou/
成都	成华	14278	http://cd.ganji.com/fang1/chenghua/
成都	龙泉驿	8952	http://cd.ganji.com/fang1/longquanyi/
成都	青白江	396	http://cd.ganji.com/fang1/qingbaijiang/
成都	新都	3648	http://cd.ganji.com/fang1/xindu/
成都	温江	4569	http://cd.ganji.com/fang1/wenjiang/
成都	都江堰	691	http://cd.ganji.com/fang1/dujiangyan/
成都	彭州	656	http://cd.ganji.com/fang1/pengzhou/
成都	邛崃	288	http://cd.ganji.com/fang1/qionglai/
成都	崇州	280	http://cd.ganji.com/fang1/chongzhou/
成都	金堂	449	http://cd.ganji.com/fang1/jintang/
成都	郫县	6864	http://cd.ganji.com/fang1/pixian/
成都	新津	224	http://cd.ganji.com/fang1/xinjin/
成都	双流	8984	http://cd.ganji.com/fang1/shuangliu/
成都	蒲江	50	http://cd.ganji.com/fang1/pujiang/
成都	大邑	281	http://cd.ganji.com/fang1/dayi/
成都	其他	2167	http://cd.ganji.com/fang1/qita/
攀枝花	东区	9792	http://panzhihua.ganji.com/fang1/dongqu/
攀枝花	西区	80	http://panzhihua.ganji.com/fang1/xiqu/
攀枝花	仁和	177	http://panzhihua.ganji.com/fang1/renhe/
攀枝花	米易	57	http://panzhihua.ganji.com/fang1/miyi/
攀枝花	盐边	13	http://panzhihua.ganji.com/fang1/yanbian/
泸州	江阳	8418	http://luzhou.ganji.com/fang1/jiangyang/
泸州	纳溪	54	http://luzhou.ganji.com/fang1/naxi/
泸州	龙马潭	3539	http://luzhou.ganji.com/fang1/longmatan/
泸州	泸县	54	http://luzhou.ganji.com/fang1/luxian/
泸州	合江	36	http://luzhou.ganji.com/fang1/hejiang/
泸州	叙永	50	http://luzhou.ganji.com/fang1/xuyong/
泸州	古蔺	42	http://luzhou.ganji.com/fang1/gulin/
甘孜藏族自治州	康定	58	http://ganzi.ganji.com/fang1/kangding/
眉山	东坡	1499	http://meishan.ganji.com/fang1/dongpo/
眉山	仁寿	97	http://meishan.ganji.com/fang1/renshou/
眉山	彭山	157	http://meishan.ganji.com/fang1/pengshan/
眉山	洪雅	16	http://meishan.ganji.com/fang1/hongya/
眉山	青神	16	http://meishan.ganji.com/fang1/qingshen/
绵阳	涪城	13599	http://mianyang.ganji.com/fang1/fucheng/
绵阳	游仙	1516	http://mianyang.ganji.com/fang1/youxian/
绵阳	江油	76	http://mianyang.ganji.com/fang1/jiangyou/
绵阳	三台	659	http://mianyang.ganji.com/fang1/santai/
绵阳	盐亭	19	http://mianyang.ganji.com/fang1/yanting/
绵阳	安县	46	http://mianyang.ganji.com/fang1/anxian/
绵阳	梓潼	17	http://mianyang.ganji.com/fang1/zitong/
绵阳	北川	16	http://mianyang.ganji.com/fang1/beichuan/
自贡	自流井	9354	http://zigong.ganji.com/fang1/ziliujing/
自贡	贡井	156	http://zigong.ganji.com/fang1/gongjing/
自贡	大安	940	http://zigong.ganji.com/fang1/daan/
自贡	沿滩	50	http://zigong.ganji.com/fang1/yantan/
自贡	荣县	50	http://zigong.ganji.com/fang1/rongxian/
自贡	富顺	24	http://zigong.ganji.com/fang1/fushun/
资阳	雁江	1124	http://ziyang.ganji.com/fang1/yanjiang/
资阳	简阳	1932	http://ziyang.ganji.com/fang1/jianyang/
资阳	安岳	59	http://ziyang.ganji.com/fang1/anyue/
资阳	乐至	70	http://ziyang.ganji.com/fang1/lezhi/
达州	通川	20746	http://dazhou.ganji.com/fang1/tongchuan/
达州	万源	15	http://dazhou.ganji.com/fang1/wanyuan/
达州	达县	355	http://dazhou.ganji.com/fang1/daxian/
达州	宣汉	50	http://dazhou.ganji.com/fang1/xuanhan/
达州	开江	13	http://dazhou.ganji.com/fang1/kaijiang/
达州	大竹	1918	http://dazhou.ganji.com/fang1/dazhu/
达州	渠县	43	http://dazhou.ganji.com/fang1/quxian/
遂宁	船山	16091	http://suining.ganji.com/fang1/chuanshan/
遂宁	安居	21	http://suining.ganji.com/fang1/anju/
遂宁	蓬溪	22	http://suining.ganji.com/fang1/pengxi/
遂宁	射洪	126	http://suining.ganji.com/fang1/shehong/
遂宁	大英	81	http://suining.ganji.com/fang1/daying/
雅安	雨城	415	http://yaan.ganji.com/fang1/yucheng/
雅安	名山	22	http://yaan.ganji.com/fang1/mingshan/
雅安	荥经	13	http://yaan.ganji.com/fang1/yingjing/
雅安	天全	10	http://yaan.ganji.com/fang1/tianquan/
雅安	芦山	13	http://yaan.ganji.com/fang1/lushan/
天津	和平	12766	http://tj.ganji.com/fang1/heping/
天津	河东	14909	http://tj.ganji.com/fang1/hedong/
天津	河西	18976	http://tj.ganji.com/fang1/hexi/
天津	南开	30747	http://tj.ganji.com/fang1/nankai/
天津	河北	7265	http://tj.ganji.com/fang1/hebei/
天津	红桥	13350	http://tj.ganji.com/fang1/hongqiao/
天津	塘沽	29032	http://tj.ganji.com/fang1/tanggu/
天津	汉沽	1806	http://tj.ganji.com/fang1/hangu/
天津	大港	2272	http://tj.ganji.com/fang1/dagang/
天津	东丽	3929	http://tj.ganji.com/fang1/dongli/
天津	西青	12254	http://tj.ganji.com/fang1/xiqing/
天津	津南	3286	http://tj.ganji.com/fang1/jinnan/
天津	北辰	14235	http://tj.ganji.com/fang1/beichen/
天津	武清	5397	http://tj.ganji.com/fang1/wuqing/
天津	宝坻	3381	http://tj.ganji.com/fang1/baodi/
天津	宁河	2512	http://tj.ganji.com/fang1/ninghe/
天津	静海	1572	http://tj.ganji.com/fang1/jinghai/
天津	蓟县	3588	http://tj.ganji.com/fang1/jixian/
天津	开发区	6202	http://tj.ganji.com/fang1/kaifaqu/
中卫县	沙坡头	2738	http://zhongwei.ganji.com/fang1/shapotou/
中卫县	中宁	199	http://zhongwei.ganji.com/fang1/zhongning/
吴忠	利通	828	http://wuzhong.ganji.com/fang1/litong/
吴忠	青铜峡	65	http://wuzhong.ganji.com/fang1/qingtongxia/
固原	原州	152	http://guyuan.ganji.com/fang1/yuanzhou/
石嘴山	大武口	1390	http://shizuishan.ganji.com/fang1/dawukou/
石嘴山	惠农	104	http://shizuishan.ganji.com/fang1/huinong/
石嘴山	平罗	55	http://shizuishan.ganji.com/fang1/luoping/
银川	兴庆	24662	http://yc.ganji.com/fang1/xingqing/
银川	金凤	11317	http://yc.ganji.com/fang1/jinfeng/
银川	西夏	3961	http://yc.ganji.com/fang1/xixia/
银川	灵武	64	http://yc.ganji.com/fang1/lingwu/
银川	永宁	341	http://yc.ganji.com/fang1/yongning/
银川	贺兰	636	http://yc.ganji.com/fang1/helan/
亳州	谯城	1048	http://bozhou.ganji.com/fang1/qiaocheng/
亳州	涡阳	83	http://bozhou.ganji.com/fang1/woyang/
亳州	蒙城	124	http://bozhou.ganji.com/fang1/mengcheng/
亳州	利辛	80	http://bozhou.ganji.com/fang1/lixin/
六安	金安	1118	http://luan.ganji.com/fang1/jinan/
六安	裕安	1096	http://luan.ganji.com/fang1/yuan/
六安	寿县	72	http://luan.ganji.com/fang1/shouxian/
六安	霍邱	25	http://luan.ganji.com/fang1/huoqiu/
六安	舒城	56	http://luan.ganji.com/fang1/shucheng/
六安	金寨	22	http://luan.ganji.com/fang1/jinzhai/
六安	霍山	24	http://luan.ganji.com/fang1/huoshan/
合肥	庐阳	42975	http://hf.ganji.com/fang1/luyang/
合肥	瑶海	10453	http://hf.ganji.com/fang1/yaohai/
合肥	蜀山	10640	http://hf.ganji.com/fang1/shushan/
合肥	包河	19061	http://hf.ganji.com/fang1/baohe/
合肥	长丰	811	http://hf.ganji.com/fang1/zhangfeng/
合肥	肥东	393	http://hf.ganji.com/fang1/feidong/
合肥	肥西	568	http://hf.ganji.com/fang1/feixi/
安庆	迎江	19572	http://anqing.ganji.com/fang1/yingjiang/
安庆	大观	15242	http://anqing.ganji.com/fang1/daguan/
安庆	宜秀	11555	http://anqing.ganji.com/fang1/yixiu/
安庆	桐城	100	http://anqing.ganji.com/fang1/tongcheng/
安庆	怀宁	51	http://anqing.ganji.com/fang1/huaining/
安庆	枞阳	37	http://anqing.ganji.com/fang1/congyang/
安庆	潜山	26	http://anqing.ganji.com/fang1/qianshan/
安庆	宿松	24	http://anqing.ganji.com/fang1/susong/
安庆	望江	10	http://anqing.ganji.com/fang1/wangjiang/
宣城	宣州	1693	http://xuancheng.ganji.com/fang1/xuanzhou/
宣城	宁国	50	http://xuancheng.ganji.com/fang1/ningguo/
宣城	郎溪	18	http://xuancheng.ganji.com/fang1/langxi/
宣城	广德	50	http://xuancheng.ganji.com/fang1/guangde/
宣城	泾县	19	http://xuancheng.ganji.com/fang1/jingxian/
宣城	绩溪	14	http://xuancheng.ganji.com/fang1/jixi/
宿州	埇桥	1284	http://ahsuzhou.ganji.com/fang1/yongqiao/
宿州	砀山	107	http://ahsuzhou.ganji.com/fang1/dangshan/
宿州	萧县	84	http://ahsuzhou.ganji.com/fang1/xiaoxian/
宿州	灵璧	50	http://ahsuzhou.ganji.com/fang1/lingbi/
宿州	泗县	62	http://ahsuzhou.ganji.com/fang1/sixian/
巢湖	居巢	1479	http://chaohu.ganji.com/fang1/juchao/
巢湖	庐江	96	http://chaohu.ganji.com/fang1/lujiang/
巢湖	无为	65	http://chaohu.ganji.com/fang1/wuwei/
巢湖	含山	25	http://chaohu.ganji.com/fang1/hanshan/
巢湖	和县	18	http://chaohu.ganji.com/fang1/hexian/
池州	贵池	23751	http://chizhou.ganji.com/fang1/guichi/
池州	东至	24	http://chizhou.ganji.com/fang1/dongzhi/
池州	青阳	32	http://chizhou.ganji.com/fang1/qingyang/
淮北	相山	2631	http://huaibei.ganji.com/fang1/xiangshan/
淮北	杜集	87	http://huaibei.ganji.com/fang1/duji/
