short_name	domain	short_name	url
阳原	zhangjiakou	张家口	yangyuan
高新区	zhangjiakou	张家口	gaoxin
丰宁	chengde	承德	fengning
兴隆	chengde	承德	xinglong
双桥区	chengde	承德	shuangqiao
双滦区	chengde	承德	shuangluan
围场	chengde	承德	weichang
宽城	chengde	承德	kuancheng
平泉	chengde	承德	pingquan
承德县	chengde	承德	chengdexian
滦平	chengde	承德	luanping
隆化	chengde	承德	longhua
鹰手营子	chengde	承德	yingshouyingzi
东光	cangzhou	沧州	dongguang
任丘	cangzhou	沧州	renqiu
南皮	cangzhou	沧州	nanpi
吴桥	cangzhou	沧州	wuqiao
孟村	cangzhou	沧州	mengcun
新华区	cangzhou	沧州	xinhua
沧县	cangzhou	沧州	cangxian
河间	cangzhou	沧州	hejian
泊头	cangzhou	沧州	botou
海兴	cangzhou	沧州	haixing
献县	cangzhou	沧州	xianxian
盐山	cangzhou	沧州	yanshan
肃宁	cangzhou	沧州	suning
运河区	cangzhou	沧州	yunhe
青县	cangzhou	沧州	qingxian
黄骅	cangzhou	沧州	huanghua
三河	langfang	廊坊	sanhe
固安	langfang	廊坊	guan
大厂	langfang	廊坊	dachang
大城	langfang	廊坊	dacheng
安次区	langfang	廊坊	anci
广阳区	langfang	廊坊	guangyang
开发区	langfang	廊坊	kaifaqu
文安	langfang	廊坊	wenan
永清	langfang	廊坊	yongqing
燕郊	langfang	廊坊	yanjiao
霸州	langfang	廊坊	bazhou
香河	langfang	廊坊	xianghe
冀州	hengshui	衡水	jizhou
安平	hengshui	衡水	anping
开发区	hengshui	衡水	kaifaqu
故城	hengshui	衡水	gucheng
景县	hengshui	衡水	jingxian
枣强	hengshui	衡水	zaoqiang
桃城区	hengshui	衡水	taocheng
武强	hengshui	衡水	wuqiang
武邑	hengshui	衡水	wuyixian
深州	hengshui	衡水	shenzhen
阜城	hengshui	衡水	fucheng
饶阳	hengshui	衡水	raoyang
东城	bj	北京	dongcheng
丰台	bj	北京	fengtai
北京周边	bj	北京	beijingzhoubian
大兴	bj	北京	daxing
宣武	bj	北京	xuanwu
密云	bj	北京	miyun
崇文	bj	北京	chongwen
平谷	bj	北京	pinggu
延庆	bj	北京	yanqing
怀柔	bj	北京	huairou
房山	bj	北京	fangshan
昌平	bj	北京	changping
朝阳	bj	北京	chaoyang
海淀	bj	北京	haidian
燕郊	bj	北京	yanjiao
石景山	bj	北京	shijingshan
西城	bj	北京	xicheng
通州	bj	北京	tongzhou
门头沟	bj	北京	mentougou
顺义	bj	北京	shunyi
上海周边	sh	上海	shanghaizhoubian
南汇	sh	上海	nanhui
卢湾	sh	上海	luwan
嘉定	sh	上海	jiading
奉贤	sh	上海	fengxian
宝山	sh	上海	baoshan
崇明	sh	上海	chongming
徐汇	sh	上海	xuhui
普陀	sh	上海	putuo
杨浦	sh	上海	yangpu
松江	sh	上海	songjiang
浦东	sh	上海	pudongxinqu
虹口	sh	上海	hongkou
金山	sh	上海	jinshan
长宁	sh	上海	changning
闵行	sh	上海	minhang
闸北	sh	上海	zhabei
青浦	sh	上海	qingpu
静安	sh	上海	jingan
黄浦	sh	上海	huangpu
东丽	tj	天津	dongli
北辰	tj	天津	beichen
南开	tj	天津	nankai
和平	tj	天津	heping
塘沽	tj	天津	tanggu
大港	tj	天津	dagang
宁河	tj	天津	ninghe
宝坻	tj	天津	baodi
开发区	tj	天津	kaifaqu
武清	tj	天津	wuqing
汉沽	tj	天津	hangu
河东	tj	天津	hedong
河北	tj	天津	hebei
河西	tj	天津	hexi
津南	tj	天津	jinnan
红桥	tj	天津	hongqiao
蓟县	tj	天津	jixian
西青	tj	天津	xiqing
静海	tj	天津	jinghai
万州	cq	重庆	wanzhou
万盛	cq	重庆	wansheng
两江新区	cq	重庆	liangjiangxinqu
丰都	cq	重庆	fengdu
九龙坡	cq	重庆	jiulongpo
云阳	cq	重庆	yunyang
其他市县	cq	重庆	qitashixian
北碚	cq	重庆	beibei
南岸	cq	重庆	nanan
南川	cq	重庆	nanchuan
双桥	cq	重庆	shuangqiao
合川	cq	重庆	hechuan
垫江	cq	重庆	dianjiang
城口	cq	重庆	chengkou
大渡口	cq	重庆	dadukou
大足	cq	重庆	dazu
奉节	cq	重庆	fengjie
巫山	cq	重庆	wushan
巫溪	cq	重庆	wuxi
巴南	cq	重庆	banan
开县	cq	重庆	kaixian
彭水	cq	重庆	pengshui
忠县	cq	重庆	zhongxian
梁平	cq	重庆	liangping
武隆	cq	重庆	wulong
永川	cq	重庆	yongchuan
江北	cq	重庆	jiangbei
江津	cq	重庆	jiangjin
沙坪坝	cq	重庆	shapingba
涪陵	cq	重庆	fuling
渝中	cq	重庆	yuzhong
渝北	cq	重庆	yubei
潼南	cq	重庆	tongnan
璧山	cq	重庆	bishan
石柱	cq	重庆	shizhu
秀山	cq	重庆	xiushan
綦江	cq	重庆	qijiang
荣昌	cq	重庆	rongchang
酉阳	cq	重庆	youyang
铜梁	cq	重庆	tongliang
长寿	cq	重庆	changshou
黔江	cq	重庆	qianjiang
从化	gz	广州	conghua
南沙	gz	广州	nansha
增城	gz	广州	zengcheng
天河	gz	广州	tianhe
海珠	gz	广州	haizhu
番禺	gz	广州	fanyu
白云	gz	广州	baiyun
经济开发区	gz	广州	jingjikaifa
花都	gz	广州	huadou
荔湾	gz	广州	liwan
萝岗	gz	广州	luogang
越秀	gz	广州	yuexiu
黄埔	gz	广州	huangpu
光明新区	sz	深圳	guangmingxinqu
南山	sz	深圳	nanshan
坪山新区	sz	深圳	pingshanxinqu
大鹏新区	sz	深圳	dapengxinqu
宝安	sz	深圳	baoan
深圳周边	sz	深圳	shenzhenzhoubian
盐田	sz	深圳	yantian
福田	sz	深圳	futian
罗湖	sz	深圳	luohu
龙岗	sz	深圳	longgang
斗门	zhuhai	珠海	doumen
金湾	zhuhai	珠海	jinwan
香洲	zhuhai	珠海	xiangzhou
南澳	shantou	汕头	nanao
潮南	shantou	汕头	chaonan
潮阳	shantou	汕头	chaoyang
澄海	shantou	汕头	chenghai
濠江	shantou	汕头	haojiang
金平	shantou	汕头	jinping
龙湖	shantou	汕头	longhu
三水	foshan	佛山	sanshui
南海	foshan	佛山	nanhai
禅城	foshan	佛山	chancheng
顺德	foshan	佛山	shunde
高明	foshan	佛山	gaoming
台山	jiangmen	江门	taishan
开平	jiangmen	江门	kaiping
恩平	jiangmen	江门	enping
新会	jiangmen	江门	xinhui
江海	jiangmen	江门	jianghai
蓬江	jiangmen	江门	pengjiang
鹤山	jiangmen	江门	heshan
信宜	maoming	茂名	xinyi
化州	maoming	茂名	huazhou
电白	maoming	茂名	dianbai
茂南	maoming	茂名	maonan
茂港	maoming	茂名	maogang
高州	maoming	茂名	gaozhou
仲恺区	huizhou	惠州	zhongkaiqu
博罗	huizhou	惠州	boluo
大亚湾区	huizhou	惠州	dayawanqu
惠东	huizhou	惠州	huidong
惠城	huizhou	惠州	huicheng
惠阳	huizhou	惠州	huiyang
龙门	huizhou	惠州	longmen
万江	dg	东莞	wanjiang
东坑	dg	东莞	dongkeng
东城	dg	东莞	dongcheng
中堂	dg	东莞	zhongtang
企石	dg	东莞	qishi
凤岗	dg	东莞	fenggang
南城	dg	东莞	nancheng
厚街	dg	东莞	houjie
塘厦	dg	东莞	tangsha
大岭山	dg	东莞	dalingshan
大朗	dg	东莞	dalang
寮步	dg	东莞	liaobu
常平	dg	东莞	changping
望牛墩	dg	东莞	wangniudun
松山湖	dg	东莞	songshanhu
桥头	dg	东莞	qiaotou
樟木头	dg	东莞	zhangmutou
横沥	dg	东莞	hengli
沙田	dg	东莞	shatian
洪梅	dg	东莞	hongmei
清溪	dg	东莞	qingxi
石排	dg	东莞	shipai
石碣	dg	东莞	shijie
石龙	dg	东莞	shilong
茶山	dg	东莞	chashan
莞城	dg	东莞	guancheng
虎门	dg	东莞	humen
谢岗	dg	东莞	xiegang
道滘	dg	东莞	daorong
长安	dg	东莞	changan
高埗	dg	东莞	gaobu
麻涌	dg	东莞	mayong
黄江	dg	东莞	huangjiang
三乡	zhongshan	中山	sanxiang
三角	zhongshan	中山	sanjiao
东凤	zhongshan	中山	dongfeng
东区	zhongshan	中山	dongqu
东升	zhongshan	中山	dongsheng
五桂山	zhongshan	中山	wuguishan
南区	zhongshan	中山	nanqu
南头	zhongshan	中山	nantou
南朗	zhongshan	中山	nanlang
古镇	zhongshan	中山	guzhen
坦洲	zhongshan	中山	tanzhou
大涌	zhongshan	中山	dayong
小榄	zhongshan	中山	xiaolan
板芙	zhongshan	中山	banfu
横栏	zhongshan	中山	henglan
民众	zhongshan	中山	minzhong
沙溪	zhongshan	中山	shaxi
港口	zhongshan	中山	gangkou
火炬	zhongshan	中山	huoju
石岐	zhongshan	中山	shiqi
神湾	zhongshan	中山	shenwan
西区	zhongshan	中山	xiqu
阜沙	zhongshan	中山	fusha
黄圃	zhongshan	中山	huangpu
上城	hz	杭州	shangcheng
下城	hz	杭州	xiacheng
临安	hz	杭州	linan
余杭	hz	杭州	yuhang
富阳	hz	杭州	fuyang
建德	hz	杭州	jiande
拱墅	hz	杭州	gongshu
桐庐	hz	杭州	tonglu
江干	hz	杭州	jianggan
淳安	hz	杭州	chunan
滨江	hz	杭州	binjiang
萧山	hz	杭州	xiaoshan
西湖	hz	杭州	xihu
余姚	nb	宁波	yuyao
北仑	nb	宁波	beilun
奉化	nb	宁波	fenghua
宁海	nb	宁波	ninghai
慈溪	nb	宁波	cixi
江东	nb	宁波	jiangdong
江北	nb	宁波	jiangbei
海曙	nb	宁波	haishu
甬江	nb	宁波	yongjiang
象山	nb	宁波	xiangshan
鄞州	nb	宁波	yinzhou
镇海	nb	宁波	zhenhai
乐清	wenzhou	温州	leqing
平阳	wenzhou	温州	pingyang
文成	wenzhou	温州	wencheng
永嘉	wenzhou	温州	yongjia
泰顺	wenzhou	温州	taishun
洞头	wenzhou	温州	dongtou
瑞安	wenzhou	温州	ruian
瓯海	wenzhou	温州	ouhai
苍南	wenzhou	温州	cangnan
鹿城	wenzhou	温州	lucheng
龙湾	wenzhou	温州	longwan
南湖	jiaxing	嘉兴	nanhu
嘉善	jiaxing	嘉兴	jiashan
平湖	jiaxing	嘉兴	pinghu
桐乡	jiaxing	嘉兴	tongxiang
海宁	jiaxing	嘉兴	haining
海盐	jiaxing	嘉兴	haiyan
秀洲	jiaxing	嘉兴	xiuzhou
经济开发区	jiaxing	嘉兴	jingjikaifaqu
南浔	huzhou	湖州	nanxun
吴兴	huzhou	湖州	wuxing
安吉	huzhou	湖州	anji
德清	huzhou	湖州	deqing
长兴	huzhou	湖州	changxing
上虞	shaoxing	绍兴	shangyu
嵊州	shaoxing	绍兴	shengzhou
新昌	shaoxing	绍兴	xinchang
绍兴县	shaoxing	绍兴	shaoxing
诸暨	shaoxing	绍兴	zhuji
越城	shaoxing	绍兴	yuecheng
东阳	jinhua	金华	dongyang
义乌	jinhua	金华	yiwu
兰溪	jinhua	金华	lanxi
婺城	jinhua	金华	wucheng
武义	jinhua	金华	wuyi
永康	jinhua	金华	yongkang
浦江	jinhua	金华	pujiang
磐安	jinhua	金华	panan
金东	jinhua	金华	jindong
常山	quzhou	衢州	changshan
开化	quzhou	衢州	kaihua
柯城	quzhou	衢州	kecheng
江山	quzhou	衢州	jiangshan
衢江	quzhou	衢州	qujiang
龙游	quzhou	衢州	longyou
定海	zhoushan	舟山	dinghai
岱山	zhoushan	舟山	daishan
嵊泗	zhoushan	舟山	shengsi
普陀	zhoushan	舟山	putuo
三门	zjtaizhou	台州	sanmen
临海	zjtaizhou	台州	linhai
仙居	zjtaizhou	台州	xianju
天台	zjtaizhou	台州	tiantai
椒江	zjtaizhou	台州	jiaojiang
温岭	zjtaizhou	台州	wenling
玉环	zjtaizhou	台州	yuhuan
路桥	zjtaizhou	台州	luqiao
黄岩	zjtaizhou	台州	huangyan
乌当	gy	贵阳	wudang
云岩	gy	贵阳	yunyan
修文	gy	贵阳	xiuwen
南明	gy	贵阳	nanming
小河	gy	贵阳	xiaohe
小河片	gy	贵阳	xiaohepian
开阳	gy	贵阳	kaiyang
息烽	gy	贵阳	xifeng
清镇	gy	贵阳	qingzhen
白云	gy	贵阳	baiyun
花溪	gy	贵阳	huaxi
金阳新区	gy	贵阳	jinyangxin
六枝特区	liupanshui	六盘水	liuzhite
水城	liupanshui	六盘水	shuicheng
盘县	liupanshui	六盘水	panxian
钟山	liupanshui	六盘水	zhongshan
习水	zunyi	遵义	xishui
仁怀	zunyi	遵义	renhuai
余庆	zunyi	遵义	yuqing
凤冈	zunyi	遵义	fenggang
务川	zunyi	遵义	wuchuan
桐梓	zunyi	遵义	tongzi
正安	zunyi	遵义	zhengan
汇川	zunyi	遵义	huichuan
湄潭	zunyi	遵义	meitan
红花岗	zunyi	遵义	honghuagang
绥阳	zunyi	遵义	suiyang
赤水	zunyi	遵义	chishui
道真	zunyi	遵义	daozhen
遵义县	zunyi	遵义	zunyixian
关岭	anshun	安顺	guanling
平坝	anshun	安顺	pingba
普定	anshun	安顺	puding
紫云	anshun	安顺	ziyun
西秀	anshun	安顺	xixiu
镇宁	anshun	安顺	zhenning
万山	tongren	铜仁	wanshan
印江	tongren	铜仁	yinjiang
德江	tongren	铜仁	dejiang
思南	tongren	铜仁	sinan
松桃	tongren	铜仁	songtao
江口	tongren	铜仁	jiangkou
沿河	tongren	铜仁	yanhe
玉屏	tongren	铜仁	yuping
石阡	tongren	铜仁	shiqian
铜仁市	tongren	铜仁	tongren
大方	bijie	毕节	dafang
威宁	bijie	毕节	weining
毕节市	bijie	毕节	bijie
纳雍	bijie	毕节	nayong
织金	bijie	毕节	zhijin
赫章	bijie	毕节	hezhang
金沙	bijie	毕节	jinsha
黔西	bijie	毕节	qianxi
兴义	qianxinan	黔西南	xingyi
兴仁	qianxinan	黔西南	xingren
册亨	qianxinan	黔西南	ceheng
安龙	qianxinan	黔西南	anlong
普安	qianxinan	黔西南	puan
晴隆	qianxinan	黔西南	qinglong
望谟	qianxinan	黔西南	wangmo
贞丰	qianxinan	黔西南	zhenfeng
三穗	qiandongnan	黔东南	sansui
丹寨	qiandongnan	黔东南	danzhai
从江	qiandongnan	黔东南	congjiang
凯里	qiandongnan	黔东南	kaili
剑河	qiandongnan	黔东南	jianhe
台江	qiandongnan	黔东南	taijiang
天柱	qiandongnan	黔东南	tianzhu
岑巩	qiandongnan	黔东南	cengong
施秉	qiandongnan	黔东南	shibing
榕江	qiandongnan	黔东南	rongjiang
锦屏	qiandongnan	黔东南	jinping
镇远	qiandongnan	黔东南	zhenyuan
雷山	qiandongnan	黔东南	leishan
麻江	qiandongnan	黔东南	majiang
黄平	qiandongnan	黔东南	huangping
黎平	qiandongnan	黔东南	liping
三都	qiannan	黔南	sandou
平塘	qiannan	黔南	pingtang
惠水	qiannan	黔南	huishui
独山	qiannan	黔南	dushan
瓮安	qiannan	黔南	wengan
福泉	qiannan	黔南	fuquan
罗甸	qiannan	黔南	luodian
荔波	qiannan	黔南	libo
贵定	qiannan	黔南	guiding
都匀	qiannan	黔南	douyun
长顺	qiannan	黔南	changshun
龙里	qiannan	黔南	longli
其他	cd	成都	qita
双流	cd	成都	shuangliu
高新	cd	成都	gaoxin
大邑	cd	成都	dayi
崇州	cd	成都	chongzhou
彭州	cd	成都	pengzhou
成华	cd	成都	chenghua
新津	cd	成都	xinjin
新都	cd	成都	xindu
武侯	cd	成都	wuhou
温江	cd	成都	wenjiang
蒲江	cd	成都	pujiang
邛崃	cd	成都	qionglai
郫县	cd	成都	pixian
都江堰	cd	成都	dujiangyan
金堂	cd	成都	jintang
金牛	cd	成都	jinniu
锦江	cd	成都	jinjiang
青白江	cd	成都	qingbaijiang
青羊	cd	成都	qingyang
高新西区	cd	成都	gaoxinxiqu
龙泉驿	cd	成都	longquanyi
大安	zigong	自贡	daan
富顺	zigong	自贡	fushun
沿滩	zigong	自贡	yantan
自流井	zigong	自贡	ziliujing
荣县	zigong	自贡	rongxian
贡井	zigong	自贡	gongjing
叙永	luzhou	泸州	xuyong
古蔺	luzhou	泸州	gulin
合江	luzhou	泸州	hejiang
江阳	luzhou	泸州	jiangyang
泸县	luzhou	泸州	luxian
纳溪	luzhou	泸州	naxi
龙马潭	luzhou	泸州	longmatan
中江	deyang	德阳	zhongjiang
什邡	deyang	德阳	shenfang
广汉	deyang	德阳	guanghan
旌阳	deyang	德阳	jingyang
绵竹	deyang	德阳	mianzhu
罗江	deyang	德阳	luojiang
三台	mianyang	绵阳	santai
北川	mianyang	绵阳	beichuan
安县	mianyang	绵阳	anxian
平武	mianyang	绵阳	pingwu
梓潼	mianyang	绵阳	zitong
江油	mianyang	绵阳	jiangyou
涪城	mianyang	绵阳	fucheng
游仙	mianyang	绵阳	youxian
盐亭	mianyang	绵阳	yanting
科创园	mianyang	绵阳	kechuangyuan
经开	mianyang	绵阳	jingkai
高新	mianyang	绵阳	gaoxin
五通桥	leshan	乐山	wutongqiao
井研	leshan	乐山	jingyan
夹江	leshan	乐山	jiajiang
峨眉山	leshan	乐山	emeishan
峨边	leshan	乐山	ebian
市中	leshan	乐山	shizhong
沐川	leshan	乐山	muchuan
沙湾	leshan	乐山	shawan
犍为	leshan	乐山	jianwei
金口河	leshan	乐山	jinkouhe
马边	leshan	乐山	mabian
仪陇	nanchong	南充	yilong
南部	nanchong	南充	nanbu
嘉陵	nanchong	南充	jialing
营山	nanchong	南充	yingshan
蓬安	nanchong	南充	pengan
西充	nanchong	南充	xichong
阆中	nanchong	南充	langzhong
顺庆	nanchong	南充	shunqing
高坪	nanchong	南充	gaoping
兴文	yibin	宜宾	xingwen
南溪	yibin	宜宾	nanxi
宜宾县	yibin	宜宾	yibin
屏山	yibin	宜宾	pingshan
江安	yibin	宜宾	jiangan
珙县	yibin	宜宾	gongxian
筠连	yibin	宜宾	junlian
翠屏	yibin	宜宾	cuiping
长宁	yibin	宜宾	zhangning
高县	yibin	宜宾	gaoxian
万源	dazhou	达州	wanyuan
大竹	dazhou	达州	dazhu
宣汉	dazhou	达州	xuanhan
开江	dazhou	达州	kaijiang
渠县	dazhou	达州	quxian
达县	dazhou	达州	daxian
通川	dazhou	达州	tongchuan
会东	liangshan	凉山	huidong
会理	liangshan	凉山	huili
冕宁	liangshan	凉山	mianning
喜德	liangshan	凉山	xide
宁南	liangshan	凉山	ningnan
布拖	liangshan	凉山	butuo
德昌	liangshan	凉山	dechang
昭觉	liangshan	凉山	zhaojue
普格	liangshan	凉山	puge
木里	liangshan	凉山	muli
甘洛	liangshan	凉山	ganluo
盐源	liangshan	凉山	yanyuan
美姑	liangshan	凉山	meigu
西昌	liangshan	凉山	xichang
越西	liangshan	凉山	yuexi
金阳	liangshan	凉山	jinyang
雷波	liangshan	凉山	leibo
东陵	sy	沈阳	dongling
于洪	sy	沈阳	yuhong
和平	sy	沈阳	heping
大东	sy	沈阳	dadong
康平	sy	沈阳	kangping
新民	sy	沈阳	xinmin
沈北	sy	沈阳	shenbei
沈河	sy	沈阳	shenhe
法库	sy	沈阳	faku
浑南	sy	沈阳	hunnan
皇姑	sy	沈阳	huanggu
苏家屯	sy	沈阳	sujiatun
辽中	sy	沈阳	liaozhong
铁西	sy	沈阳	tiexi
中山	dl	大连	zhongshan
庄河	dl	大连	zhuanghe
开发区	dl	大连	kaifa
旅顺口	dl	大连	lvshunkou
普兰店	dl	大连	pulandian
沙河口	dl	大连	shahekou
瓦房店	dl	大连	wafangdian
甘井子	dl	大连	ganjingzi
西岗	dl	大连	xigang
金州	dl	大连	jinzhou
长海	dl	大连	changhai
高新园区	dl	大连	gaoxinyuanqu
千山	anshan	鞍山	qianshan
台安	anshan	鞍山	taian
岫岩	anshan	鞍山	xiuyan
海城	anshan	鞍山	haicheng
立山	anshan	鞍山	lishan
铁东	anshan	鞍山	tiedong
铁西	anshan	鞍山	tiexi
东洲	fushun	抚顺	dongzhou
抚顺县	fushun	抚顺	fushun
新宾	fushun	抚顺	xinbin
新抚	fushun	抚顺	xinfu
望花	fushun	抚顺	wanghua
清原	fushun	抚顺	qingyuan
顺城	fushun	抚顺	shuncheng
东港	dandong	丹东	donggang
元宝	dandong	丹东	yuanbao
凤城	dandong	丹东	fengcheng
宽甸	dandong	丹东	kuandian
振兴	dandong	丹东	zhenxing
振安	dandong	丹东	zhenan
义县	jinzhou	锦州	yixian
凌河	jinzhou	锦州	linghe
凌海	jinzhou	锦州	linghai
北宁	jinzhou	锦州	beining
古塔	jinzhou	锦州	guta
太和	jinzhou	锦州	taihe
黑山	jinzhou	锦州	heishan
大石桥	yingkou	营口	dashiqiao
盖州	yingkou	营口	gaizhou
站前	yingkou	营口	zhanqian
老边	yingkou	营口	laobian
西市	yingkou	营口	xishi
鲅鱼圈	yingkou	营口	bayuquan
太子河	liaoyang	辽阳	taizihe
宏伟	liaoyang	辽阳	hongwei
弓长岭	liaoyang	辽阳	gongzhangling
文圣	liaoyang	辽阳	wensheng
灯塔	liaoyang	辽阳	dengta
白塔	liaoyang	辽阳	baita
辽阳县	liaoyang	辽阳	liaoyang
兴隆台	panjin	盘锦	xinglongtai
双台子	panjin	盘锦	shuangtaizi
大洼	panjin	盘锦	dawa
盘山	panjin	盘锦	panshan
兴城	huludao	葫芦岛	xingcheng
南票	huludao	葫芦岛	nanpiao
建昌	huludao	葫芦岛	jianchang
绥中	huludao	葫芦岛	suizhong
连山	huludao	葫芦岛	lianshan
龙港	huludao	葫芦岛	longgang
下关	nj	南京	xiaguan
六合	nj	南京	liuhe
南京周边	nj	南京	nanjingzhoubian
大厂	nj	南京	dachang
建邺	nj	南京	jianye
栖霞	nj	南京	qixia
江宁	nj	南京	jiangning
浦口	nj	南京	pukou
溧水	nj	南京	lishui
玄武	nj	南京	xuanwu
白下	nj	南京	baixia
秦淮	nj	南京	qinhuai
雨花台	nj	南京	yuhuatai
高淳	nj	南京	gaochun
鼓楼	nj	南京	gulou
北塘	wx	无锡	beitang
南长	wx	无锡	nanchang
宜兴	wx	无锡	yixing
崇安	wx	无锡	chongan
惠山	wx	无锡	huishan
新区	wx	无锡	xinqu
江阴	wx	无锡	jiangyin
滨湖	wx	无锡	binhu
锡山	wx	无锡	xishan
吴中	su	苏州	wuzhong
吴江	su	苏州	wujiang
园区	su	苏州	yuanqu
太仓	su	苏州	taicang
常熟	su	苏州	changshu
平江	su	苏州	pingjiang
张家港	su	苏州	zhangjiagang
新区	su	苏州	xinqu
昆山	su	苏州	kunshan
沧浪	su	苏州	canglang
相城	su	苏州	xiangcheng
金阊	su	苏州	jinchang
丰县	xuzhou	徐州	fengxian
九里	xuzhou	徐州	jiuli
云龙	xuzhou	徐州	yunlong
新城区	xuzhou	徐州	xinchengqu
新沂	xuzhou	徐州	xinyi
沛县	xuzhou	徐州	peixian
泉山	xuzhou	徐州	quanshan
睢宁	xuzhou	徐州	suining
贾汪	xuzhou	徐州	jiawang
邳州	xuzhou	徐州	pizhou
金山桥开发区	xuzhou	徐州	jinshanqiaokaifaqu
