西安-西安-西安	碑林/未央/高新/莲湖/新城/雁塔
南京-大厂-大厂	下关/鼓楼/建邺/六合/秦淮/白下
南京-雨花台-雨花台	建邺/鼓楼/下关/江宁/秦淮/白下
南京-溧水-溧水	高淳/栖霞/江宁/玄武/白下/秦淮
成都-大邑-大邑	邛崃/蒲江/崇州/都江堰/新津/温江
成都-郫县-郫县	高新西区/温江/彭州/新津/武侯/金牛
成都-温江-温江	郫县/新津/高新西区/彭州/武侯/双流
成都-彭州-彭州	郫县/高新西区/温江/金牛/武侯/青羊
成都-金牛-金牛	青羊/武侯/国家高新技术产业开发区/锦江/双流/成华
成都-金堂-金堂	龙泉驿/青白江/新都/成华/锦江/国家高新技术产业开发区
成都-青白江-青白江	龙泉驿/新都/成华/锦江/青羊/国家高新技术产业开发区
成都-双流-双流	武侯/国家高新技术产业开发区/金牛/青羊/锦江/成华
成都-成华-成华	锦江/青羊/国家高新技术产业开发区/新都/金牛/武侯
成都-锦江-锦江	青羊/国家高新技术产业开发区/成华/金牛/武侯/双流
成都-都江堰-都江堰	崇州/大邑/蒲江/温江/邛崃/新津
成都-国家高新技术产业开发区-国家高新技术产业开发区	青羊/锦江/武侯/金牛/双流/成华
成都-新津-新津	温江/郫县/高新西区/彭州/双流/崇州
成都-新都-新都	成华/锦江/青羊/青白江/国家高新技术产业开发区/金牛
成都-高新西区-高新西区	郫县/温江/彭州/武侯/新津/金牛
成都-武侯-武侯	金牛/青羊/国家高新技术产业开发区/双流/锦江/成华
成都-龙泉驿-龙泉驿	青白江/新都/成华/锦江/国家高新技术产业开发区/青羊
成都-青羊-青羊	国家高新技术产业开发区/金牛/锦江/武侯/成华/双流
成都-崇州-崇州	都江堰/蒲江/大邑/邛崃/温江/新津
成都-邛崃-邛崃	大邑/蒲江/崇州/都江堰/新津/温江
成都-蒲江-蒲江	邛崃/大邑/崇州/都江堰/新津/温江
长春-经开-经开	二道区/南关区/宽城区/净月/朝阳区/汽车城
长春-净月-净月	二道区/经开/南关区/宽城区/朝阳区/汽车城
长春-高新-高新	朝阳区/汽车城/绿园区/宽城区/南关区/经开
长春-农安县-农安县	绿园区/汽车城/宽城区/高新/朝阳区/南关区
长春-九台市-九台市	德惠市/双阳区/净月/二道区/经开/南关区
长春-榆树市-榆树市	九台市/德惠市/双阳区/净月/二道区/经开
长春-南关区-南关区	经开/二道区/宽城区/朝阳区/汽车城/净月
长春-二道区-二道区	经开/南关区/宽城区/净月/朝阳区/汽车城
长春-德惠市-德惠市	九台市/净月/二道区/经开/农安县/南关区
长春-绿园区-绿园区	汽车城/高新/朝阳区/宽城区/南关区/经开
长春-宽城区-宽城区	南关区/经开/二道区/朝阳区/汽车城/绿园区
长春-双阳区-双阳区	净月/二道区/经开/南关区/宽城区/朝阳区
长春-汽车城-汽车城	绿园区/朝阳区/高新/宽城区/南关区/经开
长春-朝阳区-朝阳区	汽车城/高新/绿园区/宽城区/南关区/经开
大连-瓦房店市-瓦房店市	金州区/开发区/中山区/甘井子区/西岗区/高新园区
大连-沙河口区-沙河口区	高新园区/甘井子区/西岗区/中山区/金州区/开发区
大连-长海县-长海县	普兰店市/庄河市/开发区/金州区/瓦房店市/中山区
大连-普兰店市-普兰店市	长海县/瓦房店市/开发区/金州区/中山区/西岗区
大连-旅顺口区-旅顺口区	沙河口区/甘井子区/高新园区/西岗区/中山区/金州区
大连-中山区-中山区	西岗区/高新园区/甘井子区/沙河口区/金州区/开发区
大连-开发区-开发区	金州区/中山区/西岗区/高新园区/甘井子区/沙河口区
大连-庄河市-庄河市	长海县/普兰店市/瓦房店市/开发区/金州区/中山区
大连-高新园区-高新园区	沙河口区/甘井子区/西岗区/中山区/金州区/开发区
大连-甘井子区-甘井子区	沙河口区/高新园区/西岗区/中山区/金州区/开发区
大连-西岗区-西岗区	高新园区/中山区/甘井子区/沙河口区/金州区/开发区
大连-金州区-金州区	开发区/中山区/西岗区/高新园区/甘井子区/沙河口区
沈阳-浑南新区-浑南新区	东陵区/沈河区/大东区/和平区/皇姑区/铁西区
沈阳-和平区-和平区	皇姑区/铁西区/沈河区/东陵区/浑南新区/大东区
沈阳-大东区-大东区	沈河区/东陵区/皇姑区/浑南新区/和平区/铁西区
沈阳-苏家屯区-苏家屯区	于洪区/铁西区/和平区/皇姑区/浑南新区/东陵区
沈阳-铁西区-铁西区	和平区/皇姑区/于洪区/沈河区/苏家屯区/东陵区
沈阳-法库县-法库县	康平县/沈北新区/皇姑区/铁西区/大东区/沈河区
沈阳-康平县-康平县	法库县/沈北新区/皇姑区/铁西区/于洪区/大东区
沈阳-新民市-新民市	辽中县/于洪区/苏家屯区/铁西区/和平区/皇姑区
沈阳-沈河区-沈河区	大东区/东陵区/皇姑区/浑南新区/和平区/铁西区
沈阳-沈北新区-沈北新区	大东区/沈河区/皇姑区/东陵区/和平区/浑南新区
沈阳-辽中县-辽中县	新民市/于洪区/苏家屯区/铁西区/和平区/皇姑区
沈阳-于洪区-于洪区	铁西区/苏家屯区/和平区/皇姑区/沈河区/浑南新区
沈阳-皇姑区-皇姑区	和平区/沈河区/大东区/东陵区/铁西区/浑南新区
沈阳-东陵区-东陵区	沈河区/大东区/浑南新区/皇姑区/和平区/铁西区
广州-白云-白云	越秀/海珠/荔湾/天河/花都/番禺
广州-番禺-番禺	天河/黄埔/海珠/白云/越秀/萝岗
广州-增城-增城	从化/经济开发区/南沙/萝岗/黄埔/番禺
广州-从化-从化	经济开发区/萝岗/黄埔/增城/天河/南沙
广州-经济开发区-经济开发区	萝岗/黄埔/南沙/番禺/从化/天河
广州-花都-花都	荔湾/白云/越秀/海珠/天河/番禺
广州-天河-天河	白云/番禺/海珠/越秀/荔湾/黄埔
广州-越秀-越秀	海珠/荔湾/白云/天河/花都/番禺
广州-南沙-南沙	萝岗/经济开发区/黄埔/番禺/天河/从化
广州-萝岗-萝岗	经济开发区/黄埔/南沙/番禺/天河/从化
广州-荔湾-荔湾	越秀/海珠/白云/花都/天河/番禺
广州-海珠-海珠	越秀/白云/荔湾/天河/花都/番禺
广州-黄埔-黄埔	萝岗/经济开发区/番禺/天河/南沙/白云
深圳-龙岗-龙岗	盐田/坪山新区/罗湖/福田/光明新区/南山
深圳-光明新区-光明新区	宝安/南山/福田/罗湖/盐田/龙岗
深圳-罗湖-罗湖	福田/盐田/龙岗/南山/坪山新区/光明新区
深圳-福田-福田	罗湖/南山/宝安/光明新区/盐田/龙岗
深圳-坪山新区-坪山新区	龙岗/盐田/罗湖/福田/光明新区/南山
深圳-南山-南山	宝安/光明新区/福田/罗湖/盐田/龙岗
深圳-盐田-盐田	龙岗/罗湖/坪山新区/福田/南山/光明新区
深圳-宝安-宝安	南山/光明新区/福田/罗湖/盐田/龙岗
重庆-大足县-大足县	双桥区/荣昌县/潼南县/永川区/铜梁县/璧山县
重庆-南岸区-南岸区	渝中区/江北区/两江新区/九龙坡区/万州区/巴南区
重庆-巫山县-巫山县	巫溪县/奉节县/云阳县/黔江区/秀山土家族苗族自治县/城口县
重庆-巴南区-巴南区	九龙坡区/大渡口区/江北区/南岸区/渝中区/万州区
重庆-武隆县-武隆县	丰都县/涪陵区/忠县/彭水苗族土家族自治县/石柱土家族自治县/梁平县
重庆-城口县-城口县	云阳县/开县/黔江区/忠县/石柱土家族自治县/奉节县
重庆-涪陵区-涪陵区	垫江县/长寿区/南川区/丰都县/武隆县/梁平县
重庆-长寿区-长寿区	南川区/万盛区/垫江县/涪陵区/渝北区/綦江县
重庆-沙坪坝区-沙坪坝区	大渡口区/九龙坡区/万州区/江北区/巴南区/两江新区
重庆-璧山县-璧山县	江津区/合川区/北碚区/铜梁县/沙坪坝区/大渡口区
重庆-万州区-万州区	江北区/九龙坡区/两江新区/渝中区/大渡口区/南岸区
重庆-云阳县-云阳县	开县/城口县/黔江区/石柱土家族自治县/酉阳土家族苗族自治县/忠县
重庆-秀山土家族苗族自治县-秀山土家族苗族自治县	酉阳土家族苗族自治县/黔江区/云阳县/彭水苗族土家族自治县/奉节县/石柱土家族自治县
重庆-黔江区-黔江区	酉阳土家族苗族自治县/秀山土家族苗族自治县/云阳县/彭水苗族土家族自治县/开县/石柱土家族自治县
重庆-渝中区-渝中区	南岸区/江北区/两江新区/万州区/九龙坡区/巴南区
重庆-永川区-永川区	双桥区/铜梁县/大足县/潼南县/璧山县/荣昌县
重庆-潼南县-潼南县	大足县/双桥区/铜梁县/永川区/荣昌县/璧山县
重庆-大渡口区-大渡口区	九龙坡区/沙坪坝区/万州区/巴南区/江北区/渝中区
重庆-开县-开县	云阳县/城口县/忠县/石柱土家族自治县/梁平县/彭水苗族土家族自治县
重庆-彭水苗族土家族自治县-彭水苗族土家族自治县	石柱土家族自治县/忠县/武隆县/丰都县/梁平县/酉阳土家族苗族自治县
重庆-铜梁县-铜梁县	璧山县/永川区/合川区/潼南县/江津区/双桥区
重庆-巫溪县-巫溪县	奉节县/巫山县/云阳县/城口县/黔江区/秀山土家族苗族自治县
重庆-忠县-忠县	石柱土家族自治县/梁平县/丰都县/彭水苗族土家族自治县/武隆县/开县
重庆-九龙坡区-九龙坡区	万州区/江北区/大渡口区/巴南区/渝中区/南岸区
重庆-江北区-江北区	万州区/渝中区/两江新区/九龙坡区/南岸区/巴南区
重庆-垫江县-垫江县	涪陵区/长寿区/丰都县/南川区/梁平县/武隆县
重庆-两江新区-两江新区	江北区/渝中区/万州区/南岸区/九龙坡区/大渡口区
重庆-合川区-合川区	璧山县/北碚区/江津区/沙坪坝区/铜梁县/大渡口区
重庆-荣昌县-荣昌县	大足县/双桥区/潼南县/永川区/铜梁县/璧山县
重庆-渝北区-渝北区	两江新区/南岸区/渝中区/江北区/万州区/九龙坡区
重庆-石柱土家族自治县-石柱土家族自治县	忠县/彭水苗族土家族自治县/梁平县/丰都县/武隆县/开县
重庆-酉阳土家族苗族自治县-酉阳土家族苗族自治县	黔江区/秀山土家族苗族自治县/彭水苗族土家族自治县/云阳县/石柱土家族自治县/开县
重庆-江津区-江津区	璧山县/合川区/北碚区/沙坪坝区/大渡口区/铜梁县
重庆-万盛区-万盛区	南川区/綦江县/长寿区/渝北区/南岸区/渝中区
重庆-北碚区-北碚区	沙坪坝区/大渡口区/合川区/万州区/九龙坡区/江北区
重庆-南川区-南川区	万盛区/长寿区/涪陵区/垫江县/綦江县/渝北区
重庆-奉节县-奉节县	巫溪县/巫山县/云阳县/黔江区/城口县/秀山土家族苗族自治县
重庆-丰都县-丰都县	武隆县/梁平县/忠县/涪陵区/石柱土家族自治县/垫江县
重庆-双桥区-双桥区	大足县/永川区/荣昌县/潼南县/铜梁县/璧山县
重庆-梁平县-梁平县	丰都县/忠县/石柱土家族自治县/武隆县/垫江县/涪陵区
重庆-綦江县-綦江县	巴南区/南岸区/渝中区/九龙坡区/江北区/渝北区
上海-浦东-浦东	杨浦区/虹口区/黄浦区/卢湾区/闸北区/静安区
上海-黄浦区-黄浦区	卢湾区/闸北区/虹口区/静安区/杨浦区/徐汇区
上海-闵行区-闵行区	徐汇区/长宁区/普陀区/静安区/卢湾区/闸北区
上海-长宁区-长宁区	徐汇区/静安区/普陀区/闸北区/卢湾区/黄浦区
上海-杨浦区-杨浦区	虹口区/浦东/黄浦区/卢湾区/闸北区/静安区
上海-卢湾区-卢湾区	闸北区/黄浦区/静安区/徐汇区/长宁区/虹口区
上海-奉贤区-奉贤区	闵行区/徐汇区/卢湾区/金山区/黄浦区/静安区
上海-金山区-金山区	奉贤区/松江区/闵行区/徐汇区/长宁区/普陀区
上海-嘉定区-嘉定区	普陀区/长宁区/闵行区/松江区/崇明县/青浦区
上海-青浦区-青浦区	松江区/嘉定区/闵行区/普陀区/长宁区/金山区
上海-崇明县-崇明县	宝山区/嘉定区/普陀区/闸北区/长宁区/静安区
上海-宝山区-宝山区	虹口区/杨浦区/闸北区/黄浦区/卢湾区/静安区
上海-虹口区-虹口区	杨浦区/黄浦区/浦东/卢湾区/闸北区/静安区
上海-闸北区-闸北区	静安区/卢湾区/黄浦区/长宁区/徐汇区/虹口区
上海-静安区-静安区	闸北区/卢湾区/长宁区/徐汇区/黄浦区/普陀区
上海-南汇区-南汇区	浦东/杨浦区/虹口区/黄浦区/奉贤区/卢湾区
上海-徐汇区-徐汇区	长宁区/静安区/卢湾区/闸北区/普陀区/黄浦区
上海-普陀区-普陀区	长宁区/徐汇区/静安区/闸北区/卢湾区/闵行区
上海-松江区-松江区	青浦区/闵行区/嘉定区/金山区/普陀区/长宁区
武汉-硚口-硚口	东西湖/江汉/沌口开发区/汉阳/江岸/武昌
武汉-江汉-江汉	汉阳/江岸/武昌/硚口/洪山/江夏
武汉-汉南-汉南	蔡甸/沌口开发区/东西湖/硚口/汉阳/江汉
武汉-沌口开发区-沌口开发区	东西湖/硚口/汉阳/江汉/蔡甸/江岸
武汉-江岸-江岸	江汉/汉阳/武昌/洪山/硚口/青山
武汉-洪山-洪山	武昌/江夏/汉阳/青山/江岸/江汉
武汉-黄陂-黄陂	青山/江岸/武昌/江汉/洪山/汉阳
武汉-武昌-武昌	洪山/汉阳/江岸/江汉/青山/江夏
武汉-江夏-江夏	洪山/武昌/汉阳/江汉/江岸/青山
武汉-汉阳-汉阳	江汉/江岸/武昌/洪山/硚口/江夏
武汉-新洲-新洲	青山/黄陂/洪山/武昌/江岸/江夏
武汉-青山-青山	洪山/武昌/江岸/黄陂/江汉/汉阳
武汉-蔡甸-蔡甸	东西湖/汉南/沌口开发区/硚口/江汉/汉阳
武汉-东西湖-东西湖	沌口开发区/硚口/蔡甸/江汉/汉阳/江岸
杭州-滨江-滨江	上城/下城/萧山/拱墅/西湖/江干
杭州-富阳-富阳	桐庐/余杭/西湖/滨江/拱墅/上城
杭州-余杭-余杭	西湖/拱墅/下城/上城/滨江/萧山
杭州-临安-临安	桐庐/建德/富阳/淳安/余杭/西湖
杭州-上城-上城	滨江/下城/拱墅/萧山/西湖/江干
杭州-江干-江干	萧山/下城/上城/滨江/拱墅/西湖
杭州-桐庐-桐庐	富阳/临安/建德/余杭/西湖/滨江
杭州-淳安-淳安	建德/临安/桐庐/富阳/余杭/西湖
杭州-拱墅-拱墅	下城/上城/滨江/西湖/萧山/余杭
杭州-下城-下城	拱墅/上城/滨江/萧山/西湖/江干
杭州-西湖-西湖	滨江/拱墅/余杭/上城/下城/萧山
杭州-建德-建德	桐庐/临安/淳安/富阳/余杭/西湖
杭州-萧山-萧山	滨江/上城/下城/江干/拱墅/西湖
天津-宁河县-宁河县	汉沽区/塘沽区/开发区/大港区/东丽区/津南区
天津-红桥区-红桥区	南开区/和平区/北辰区/河北区/河西区/河东区
天津-南开区-南开区	红桥区/和平区/河北区/北辰区/河西区/河东区
天津-河西区-河西区	河东区/和平区/河北区/南开区/红桥区/北辰区
天津-东丽区-东丽区	津南区/大港区/开发区/河东区/河西区/河北区
天津-西青区-西青区	静海县/武清区/南开区/红桥区/北辰区/和平区
天津-开发区-开发区	塘沽区/大港区/东丽区/津南区/汉沽区/河东区
天津-河北区-河北区	和平区/河西区/河东区/红桥区/北辰区/南开区
天津-河东区-河东区	河西区/河北区/和平区/红桥区/北辰区/南开区
天津-塘沽区-塘沽区	开发区/汉沽区/宁河县/大港区/东丽区/津南区
天津-宝坻区-宝坻区	蓟县/北辰区/河北区/河东区/东丽区/红桥区
天津-津南区-津南区	东丽区/大港区/河东区/河西区/开发区/河北区
天津-武清区-武清区	西青区/北辰区/红桥区/南开区/和平区/河北区
天津-汉沽区-汉沽区	宁河县/塘沽区/开发区/大港区/东丽区/津南区
天津-蓟县-蓟县	宝坻区/东丽区/北辰区/河北区/河东区/开发区
天津-和平区-和平区	河北区/河西区/红桥区/南开区/河东区/北辰区
天津-北辰区-北辰区	红桥区/河北区/和平区/南开区/河西区/河东区
天津-静海县-静海县	西青区/南开区/红桥区/武清区/和平区/北辰区
天津-大港区-大港区	津南区/开发区/东丽区/塘沽区/河东区/河西区
西安-蓝田-汤峪	焦岱/前卫/孟村/安村/城关/大寨
西安-蓝田-大寨	城关/安村/焦岱/前卫/孟村/汤峪
西安-蓝田-前卫	孟村/焦岱/汤峪/安村/城关/大寨
西安-蓝田-焦岱	安村/汤峪/前卫/孟村/城关/大寨
西安-蓝田-孟村	前卫/汤峪/焦岱/安村/城关/大寨
西安-蓝田-城关	大寨/安村/焦岱/前卫/孟村/汤峪
西安-蓝田-安村	焦岱/前卫/城关/孟村/大寨/汤峪
西安-长安-郭杜	子午/西京大学/滦镇/韦曲/长安区政府/王寺
西安-长安-西京大学	韦曲/长安区政府/子午/郭杜/太乙宫/滦镇
西安-长安-子午	西京大学/郭杜/韦曲/长安区政府/滦镇/太乙宫
西安-长安-引镇	太乙宫/长安区政府/韦曲/西京大学/子午/郭杜
西安-长安-王寺	斗门/滦镇/东大/郭杜/马王/子午
西安-长安-滦镇	东大/郭杜/王寺/斗门/子午/马王
西安-长安-斗门	马王/王寺/东大/滦镇/郭杜/子午
西安-长安-太乙宫	长安区政府/韦曲/西京大学/引镇/子午/郭杜
西安-长安-长安区政府	韦曲/西京大学/子午/郭杜/太乙宫/滦镇
西安-长安-韦曲	长安区政府/西京大学/子午/郭杜/太乙宫/滦镇
西安-长安-东大	滦镇/斗门/马王/王寺/郭杜/子午
西安-长安-马王	斗门/东大/王寺/滦镇/郭杜/子午
西安-临潼-行者	骊山/秦陵/新丰/斜口/代王
西安-临潼-新丰	秦陵/斜口/骊山/代王/行者
西安-临潼-斜口	新丰/代王/秦陵/骊山/行者
西安-临潼-代王	斜口/新丰/秦陵/骊山/行者
西安-临潼-骊山	行者/秦陵/新丰/斜口/代王
西安-临潼-秦陵	新丰/骊山/斜口/代王/行者
西安-雁塔-翠华路	国展中心/大雁塔/电视塔/长延堡/杨家村/小寨路
西安-雁塔-国展中心	长延堡/电视塔/杨家村/翠华路/小寨路/明德门
西安-雁塔-市政府小区	永松路/丁白路/吉祥路/太白小区/电子正街/北山门
西安-雁塔-电视塔	长延堡/杨家村/国展中心/小寨路/翠华路/鱼化寨
西安-雁塔-鱼化寨	明德门/吉祥路/小寨路/永松路/市政府小区/丁白路
西安-雁塔-等驾坡	西影路/大雁塔/翠华路/国展中心/电视塔/长延堡
西安-雁塔-电子正街	北山门/电子城/丁白路/太白小区/市政府小区/永松路
西安-雁塔-电子城	电子正街/北山门/太白小区/丁白路/太白南路/市政府小区
西安-雁塔-太白小区	丁白路/市政府小区/电子城/永松路/电子正街/北山门
西安-雁塔-小寨路	杨家村/电视塔/鱼化寨/长延堡/明德门/吉祥路
西安-雁塔-吉祥路	永松路/市政府小区/鱼化寨/丁白路/明德门/太白小区
西安-雁塔-大雁塔	翠华路/国展中心/电视塔/长延堡/杨家村/西影路
西安-雁塔-丁白路	市政府小区/太白小区/永松路/电子正街/北山门/电子城
西安-雁塔-长延堡	杨家村/电视塔/国展中心/小寨路/翠华路/明德门
西安-雁塔-明德门	鱼化寨/吉祥路/小寨路/永松路/市政府小区/杨家村
西安-雁塔-西影路	等驾坡/大雁塔/翠华路/国展中心/电视塔/长延堡
西安-雁塔-杨家村	长延堡/电视塔/国展中心/小寨路/明德门/鱼化寨
西安-雁塔-北山门	电子正街/电子城/丁白路/太白小区/市政府小区/永松路
西安-雁塔-永松路	市政府小区/丁白路/吉祥路/太白小区/电子正街/北山门
西安-雁塔-太白南路	电子城/太白小区/电子正街/北山门/丁白路/市政府小区
西安-新城-万寿路	韩森寨/长缨东路/长乐中路/建政街道/胡家庙/金花路
西安-新城-建政街道	金花路/长乐中路/韩森寨/互助路立交/长缨东路/胡家庙
西安-新城-西京医院	长乐西路/康复路/互助路立交/胡家庙/金花路/长乐中路
西安-新城-中山门	东五路/尚勤路/解放门/太华路/中山东路/新城街道
西安-新城-东五路	尚勤路/中山门/解放门/中山东路/太华路/新城街道
西安-新城-金花路	互助路立交/建政街道/长乐西路/长乐中路/胡家庙/西京医院
西安-新城-长乐中路	长缨东路/胡家庙/互助路立交/长乐西路/金花路/建政街道
西安-新城-互助路立交	长乐西路/金花路/胡家庙/西京医院/长乐中路/长缨东路
西安-新城-长缨东路	长乐中路/胡家庙/互助路立交/长乐西路/建政街道/韩森寨
西安-新城-西一路	西五路/文昌门/新城街道/中山东路/自强路/迎新路
西安-新城-人民路	迎新路/文昌门/西一路/西五路/自强路/新城街道
西安-新城-自强路	新城街道/解放门/中山东路/西五路/西一路/尚勤路
西安-新城-文昌门	西一路/西五路/新城街道/迎新路/中山东路/自强路
西安-新城-中山东路	新城街道/解放门/尚勤路/自强路/东五路/西五路
西安-新城-尚勤路	东五路/解放门/中山门/中山东路/新城街道/太华路
西安-新城-解放门	尚勤路/东五路/中山东路/新城街道/自强路/中山门
西安-新城-迎新路	西一路/西五路/文昌门/自强路/新城街道/中山东路
西安-新城-长乐西路	西京医院/互助路立交/胡家庙/长乐中路/金花路/康复路
西安-新城-康复路	西京医院/长乐西路/互助路立交/胡家庙/太华路/中山门
西安-新城-韩森寨	万寿路/建政街道/长缨东路/长乐中路/金花路/胡家庙
西安-新城-太华路	东五路/解放门/尚勤路/中山门/自强路/中山东路
西安-新城-西五路	西一路/新城街道/自强路/文昌门/中山东路/迎新路
西安-新城-新城街道	中山东路/自强路/解放门/西五路/西一路/尚勤路
西安-新城-胡家庙	长乐西路/长乐中路/互助路立交/长缨东路/西京医院/金花路
西安-未央-经济技术开发区	凤城一路/雅荷花园/二府庄/方新村/张家堡/辛家庙
西安-未央-文景路	凤城四路/张家堡/辛家庙/凤城一路/经济技术开发区/雅荷花园
西安-未央-雅荷花园	经济技术开发区/凤城一路/二府庄/方新村/张家堡/辛家庙
西安-未央-辛家庙	张家堡/雅荷花园/经济技术开发区/凤城一路/文景路/二府庄
西安-未央-凤城一路	经济技术开发区/雅荷花园/二府庄/方新村/张家堡/辛家庙
西安-未央-草滩	徐家湾/辛家庙/张家堡/雅荷花园/经济技术开发区/凤城一路
西安-未央-二府庄	方新村/龙首村/凤城一路/经济技术开发区/雅荷花园/张家堡
西安-未央-大观园	凤城四路/文景路/方新村/龙首村/二府庄/凤城一路
西安-未央-凤城四路	文景路/张家堡/辛家庙/凤城一路/经济技术开发区/雅荷花园
西安-未央-三桥	大观园/凤城四路/文景路/方新村/凤城一路/二府庄
西安-未央-徐家湾	草滩/辛家庙/张家堡/雅荷花园/经济技术开发区/凤城一路
西安-未央-龙首村	方新村/二府庄/凤城一路/经济技术开发区/雅荷花园/二马路
西安-未央-二马路	龙首村/二府庄/方新村/经济技术开发区/雅荷花园/凤城一路
