date	cat	city	pv
4-8	租赁	深圳	61836
4-9	租赁	深圳	59517
4-10	租赁	深圳	58145
4-11	租赁	深圳	59866
4-12	租赁	深圳	53729
4-13	租赁	深圳	52801
4-14	租赁	深圳	62639
4-15	租赁	深圳	57055
4-16	租赁	深圳	60909
4-17	租赁	深圳	65075
4-18	租赁	深圳	60256
4-19	租赁	深圳	62509
4-20	租赁	深圳	60884
4-21	租赁	深圳	67259
4-22	租赁	深圳	66413
4-23	租赁	深圳	62338
4-24	租赁	深圳	61962
4-25	租赁	深圳	56077
4-26	租赁	深圳	58882
4-27	租赁	深圳	55210
4-28	租赁	深圳	58264
4-29	租赁	深圳	56494
4-30	租赁	深圳	48792
5-1	租赁	深圳	38648
5-2	租赁	深圳	39622
5-3	租赁	深圳	46665
5-4	租赁	深圳	59751
5-5	租赁	深圳	56737
5-6	租赁	深圳	54186
5-7	租赁	深圳	53605
5-8	租赁	深圳	52379
5-9	租赁	深圳	49430
5-10	租赁	深圳	50193
5-11	租赁	深圳	47841
5-12	租赁	深圳	61594
5-13	租赁	深圳	65522
5-14	租赁	深圳	63506
5-15	租赁	深圳	65295
5-16	租赁	深圳	61691
5-17	租赁	深圳	61864
5-18	租赁	深圳	59570
5-19	租赁	深圳	67437
5-20	租赁	深圳	60692
5-21	租赁	深圳	60974
5-22	租赁	深圳	64145
5-23	租赁	深圳	61970
5-24	租赁	深圳	61162
5-25	租赁	深圳	59121
5-26	租赁	深圳	64547
5-27	租赁	深圳	67597
5-28	租赁	深圳	59960
5-29	租赁	深圳	57853
5-30	租赁	深圳	49245
5-31	租赁	深圳	46215
6-1	租赁	深圳	43245
6-2	租赁	深圳	43616
6-3	租赁	深圳	60678
6-4	租赁	深圳	60032
6-5	租赁	深圳	63851
6-6	租赁	深圳	59525
6-7	租赁	深圳	58520
6-8	租赁	深圳	57549
6-9	租赁	深圳	61935
6-10	租赁	深圳	63204
6-11	租赁	深圳	59161
6-12	租赁	深圳	60207
6-13	租赁	深圳	56364
6-14	租赁	深圳	58164
6-15	租赁	深圳	58780
6-16	租赁	深圳	69791
6-17	租赁	深圳	68306
6-18	租赁	深圳	69295
6-19	租赁	深圳	69749
6-20	租赁	深圳	67204
6-21	租赁	深圳	70642
6-22	租赁	深圳	69576
6-23	租赁	深圳	79058
6-24	租赁	深圳	73153
6-25	租赁	深圳	73449
6-26	租赁	深圳	72585
6-27	租赁	深圳	69653
6-28	租赁	深圳	65685
6-29	租赁	深圳	63455
6-30	租赁	深圳	71856
4-1	买卖	北京	55646
4-2	买卖	北京	56488
4-3	买卖	北京	55822
4-4	买卖	北京	50733
4-5	买卖	北京	40886
4-6	买卖	北京	45587
4-7	买卖	北京	51945
4-8	买卖	北京	59645
4-9	买卖	北京	55723
4-10	买卖	北京	54823
4-11	买卖	北京	57236
4-12	买卖	北京	45087
4-13	买卖	北京	48630
4-14	买卖	北京	55207
4-15	买卖	北京	55544
4-16	买卖	北京	56239
4-17	买卖	北京	56812
4-18	买卖	北京	53036
4-19	买卖	北京	45881
4-20	买卖	北京	46161
4-21	买卖	北京	55804
4-22	买卖	北京	52138
4-23	买卖	北京	54852
4-24	买卖	北京	54574
4-25	买卖	北京	51064
4-26	买卖	北京	42534
4-27	买卖	北京	44404
4-28	买卖	北京	55003
4-29	买卖	北京	51953
4-30	买卖	北京	44715
5-1	买卖	北京	36081
5-2	买卖	北京	40261
5-3	买卖	北京	53840
5-4	买卖	北京	66245
5-5	买卖	北京	59632
5-6	买卖	北京	56882
5-7	买卖	北京	53858
5-8	买卖	北京	57797
5-9	买卖	北京	54338
5-10	买卖	北京	44239
5-11	买卖	北京	51083
5-12	买卖	北京	53820
5-13	买卖	北京	51204
5-14	买卖	北京	50421
5-15	买卖	北京	50281
5-16	买卖	北京	47491
5-17	买卖	北京	39182
5-18	买卖	北京	41916
5-19	买卖	北京	51012
5-20	买卖	北京	47994
5-21	买卖	北京	46237
5-22	买卖	北京	48595
5-23	买卖	北京	46597
5-24	买卖	北京	43296
5-25	买卖	北京	41006
5-26	买卖	北京	51178
5-27	买卖	北京	52817
5-28	买卖	北京	45470
5-29	买卖	北京	44201
5-30	买卖	北京	38168
5-31	买卖	北京	31875
6-1	买卖	北京	35460
6-2	买卖	北京	34955
6-3	买卖	北京	51332
6-4	买卖	北京	46259
6-5	买卖	北京	44874
6-6	买卖	北京	48663
6-7	买卖	北京	38444
6-8	买卖	北京	43227
6-9	买卖	北京	51639
6-10	买卖	北京	51656
6-11	买卖	北京	46399
6-12	买卖	北京	45971
6-13	买卖	北京	45237
6-14	买卖	北京	35526
6-15	买卖	北京	39761
6-16	买卖	北京	48751
6-17	买卖	北京	46294
6-18	买卖	北京	44074
6-19	买卖	北京	47745
6-20	买卖	北京	43346
6-21	买卖	北京	37266
6-22	买卖	北京	38971
6-23	买卖	北京	49941
6-24	买卖	北京	48736
6-25	买卖	北京	46140
6-26	买卖	北京	46438
6-27	买卖	北京	45795
6-28	买卖	北京	39143
6-29	买卖	北京	40001
6-30	买卖	北京	47847
4-1	买卖	广州	9697
4-2	买卖	广州	9182
4-3	买卖	广州	8987
4-4	买卖	广州	8013
4-5	买卖	广州	6536
4-6	买卖	广州	9205
4-7	买卖	广州	10974
4-8	买卖	广州	8915
4-9	买卖	广州	8773
4-10	买卖	广州	8185
4-11	买卖	广州	8529
4-12	买卖	广州	7193
4-13	买卖	广州	7164
4-14	买卖	广州	8694
4-15	买卖	广州	7670
4-16	买卖	广州	8256
4-17	买卖	广州	7978
4-18	买卖	广州	7426
4-19	买卖	广州	6610
4-20	买卖	广州	6900
4-21	买卖	广州	7687
4-22	买卖	广州	7911
4-23	买卖	广州	8222
4-24	买卖	广州	7556
4-25	买卖	广州	7072
4-26	买卖	广州	7387
4-27	买卖	广州	7204
4-28	买卖	广州	7928
4-29	买卖	广州	8590
4-30	买卖	广州	7871
5-1	买卖	广州	6186
5-2	买卖	广州	6258
5-3	买卖	广州	7242
5-4	买卖	广州	9642
5-5	买卖	广州	10410
5-6	买卖	广州	8792
5-7	买卖	广州	8877
5-8	买卖	广州	8621
5-9	买卖	广州	8065
5-10	买卖	广州	7206
5-11	买卖	广州	7440
5-12	买卖	广州	8783
5-13	买卖	广州	8316
5-14	买卖	广州	7506
5-15	买卖	广州	6881
5-16	买卖	广州	6641
5-17	买卖	广州	6598
5-18	买卖	广州	6469
5-19	买卖	广州	7852
5-20	买卖	广州	7225
5-21	买卖	广州	7646
5-22	买卖	广州	7836
5-23	买卖	广州	7490
5-24	买卖	广州	7363
5-25	买卖	广州	6884
5-26	买卖	广州	7850
5-27	买卖	广州	8324
5-28	买卖	广州	7718
5-29	买卖	广州	7748
5-30	买卖	广州	6785
5-31	买卖	广州	5753
6-1	买卖	广州	5830
6-2	买卖	广州	6140
6-3	买卖	广州	8496
6-4	买卖	广州	7715
6-5	买卖	广州	7408
6-6	买卖	广州	8548
6-7	买卖	广州	6967
6-8	买卖	广州	7221
6-9	买卖	广州	8013
6-10	买卖	广州	8162
6-11	买卖	广州	8401
6-12	买卖	广州	7619
6-13	买卖	广州	7239
6-14	买卖	广州	6499
6-15	买卖	广州	6642
6-16	买卖	广州	7542
6-17	买卖	广州	8030
6-18	买卖	广州	7384
6-19	买卖	广州	7779
6-20	买卖	广州	7629
6-21	买卖	广州	6583
6-22	买卖	广州	7245
6-23	买卖	广州	7870
6-24	买卖	广州	9025
6-25	买卖	广州	7167
6-26	买卖	广州	6735
6-27	买卖	广州	7112
6-28	买卖	广州	6769
6-29	买卖	广州	6538
6-30	买卖	广州	7663
4-1	买卖	上海	30225
4-2	买卖	上海	32490
4-3	买卖	上海	32489
4-4	买卖	上海	29548
4-5	买卖	上海	25368
4-6	买卖	上海	26137
4-7	买卖	上海	32310
4-8	买卖	上海	31705
4-9	买卖	上海	31096
4-10	买卖	上海	31179
4-11	买卖	上海	32651
4-12	买卖	上海	32552
4-13	买卖	上海	30668
4-14	买卖	上海	30124
4-15	买卖	上海	26732
4-16	买卖	上海	31113
4-17	买卖	上海	33193
4-18	买卖	上海	29228
4-19	买卖	上海	28430
4-20	买卖	上海	25528
4-21	买卖	上海	32553
4-22	买卖	上海	28441
4-23	买卖	上海	27310
4-24	买卖	上海	31151
4-25	买卖	上海	30152
4-26	买卖	上海	32002
4-27	买卖	上海	29987
4-28	买卖	上海	30104
4-29	买卖	上海	26891
4-30	买卖	上海	23655
5-1	买卖	上海	19474
5-2	买卖	上海	22830
5-3	买卖	上海	28401
5-4	买卖	上海	36345
5-5	买卖	上海	28955
5-6	买卖	上海	28319
5-7	买卖	上海	27838
5-8	买卖	上海	27846
5-9	买卖	上海	27638
5-10	买卖	上海	27893
5-11	买卖	上海	27572
5-12	买卖	上海	27697
5-13	买卖	上海	27199
5-14	买卖	上海	26214
5-15	买卖	上海	24849
5-16	买卖	上海	24757
5-17	买卖	上海	24557
5-18	买卖	上海	25525
5-19	买卖	上海	26084
5-20	买卖	上海	24273
5-21	买卖	上海	24984
5-22	买卖	上海	26346
5-23	买卖	上海	25079
5-24	买卖	上海	22713
5-25	买卖	上海	22603
5-26	买卖	上海	24241
5-27	买卖	上海	23987
5-28	买卖	上海	22153
5-29	买卖	上海	22826
5-30	买卖	上海	19596
5-31	买卖	上海	16998
6-1	买卖	上海	22752
6-2	买卖	上海	19775
6-3	买卖	上海	24057
6-4	买卖	上海	24513
6-5	买卖	上海	23963
6-6	买卖	上海	24646
6-7	买卖	上海	21285
6-8	买卖	上海	22504
6-9	买卖	上海	23890
6-10	买卖	上海	23757
6-11	买卖	上海	23195
6-12	买卖	上海	24708
6-13	买卖	上海	23539
6-14	买卖	上海	18304
6-15	买卖	上海	20286
6-16	买卖	上海	25322
6-17	买卖	上海	23307
6-18	买卖	上海	21811
6-19	买卖	上海	22261
6-20	买卖	上海	21648
6-21	买卖	上海	22108
6-22	买卖	上海	20166
6-23	买卖	上海	23953
6-24	买卖	上海	22026
6-25	买卖	上海	23392
6-26	买卖	上海	25412
6-27	买卖	上海	21438
6-28	买卖	上海	18328
6-29	买卖	上海	18331
6-30	买卖	上海	20584
4-1	买卖	深圳	11657
4-2	买卖	深圳	11643
4-3	买卖	深圳	12045
4-4	买卖	深圳	10487
4-5	买卖	深圳	8584
4-6	买卖	深圳	10999
4-7	买卖	深圳	13759
4-8	买卖	深圳	12393
4-9	买卖	深圳	11953
4-10	买卖	深圳	10620
4-11	买卖	深圳	14437
4-12	买卖	深圳	9115
4-13	买卖	深圳	8898
4-14	买卖	深圳	10379
4-15	买卖	深圳	10196
4-16	买卖	深圳	11604
4-17	买卖	深圳	11560
4-18	买卖	深圳	10725
4-19	买卖	深圳	10068
4-20	买卖	深圳	9631
4-21	买卖	深圳	10912
4-22	买卖	深圳	10858
4-23	买卖	深圳	11850
4-24	买卖	深圳	12093
4-25	买卖	深圳	10818
4-26	买卖	深圳	9709
4-27	买卖	深圳	9816
4-28	买卖	深圳	10434
4-29	买卖	深圳	10902
4-30	买卖	深圳	10194
5-1	买卖	深圳	8309
5-2	买卖	深圳	8704
5-3	买卖	深圳	10747
5-4	买卖	深圳	12858
5-5	买卖	深圳	11607
5-6	买卖	深圳	11611
5-7	买卖	深圳	12523
5-8	买卖	深圳	11380
5-9	买卖	深圳	12461
5-10	买卖	深圳	9450
5-11	买卖	深圳	10619
5-12	买卖	深圳	10004
5-13	买卖	深圳	10096
5-14	买卖	深圳	10381
5-15	买卖	深圳	9400
5-16	买卖	深圳	10011
5-17	买卖	深圳	8285
5-18	买卖	深圳	7804
5-19	买卖	深圳	9696
5-20	买卖	深圳	10240
5-21	买卖	深圳	9845
5-22	买卖	深圳	10394
5-23	买卖	深圳	9989
5-24	买卖	深圳	8469
5-25	买卖	深圳	8626
5-26	买卖	深圳	10439
5-27	买卖	深圳	10351
5-28	买卖	深圳	9834
5-29	买卖	深圳	9573
5-30	买卖	深圳	8517
5-31	买卖	深圳	7279
6-1	买卖	深圳	7075
6-2	买卖	深圳	7188
6-3	买卖	深圳	9646
6-4	买卖	深圳	8692
6-5	买卖	深圳	9114
6-6	买卖	深圳	9711
6-7	买卖	深圳	8997
6-8	买卖	深圳	8782
6-9	买卖	深圳	10454
6-10	买卖	深圳	9576
6-11	买卖	深圳	10829
6-12	买卖	深圳	10509
6-13	买卖	深圳	9442
6-14	买卖	深圳	7718
6-15	买卖	深圳	8367
6-16	买卖	深圳	10304
6-17	买卖	深圳	10159
6-18	买卖	深圳	10653
6-19	买卖	深圳	10264
6-20	买卖	深圳	9309
6-21	买卖	深圳	8147
6-22	买卖	深圳	9151
6-23	买卖	深圳	11501
6-24	买卖	深圳	10382
6-25	买卖	深圳	9449
6-26	买卖	深圳	9242
6-27	买卖	深圳	8757
6-28	买卖	深圳	8058
6-29	买卖	深圳	8295
6-30	买卖	深圳	9823
4-1	商业	北京	16337
4-2	商业	北京	17970
4-3	商业	北京	17546
4-4	商业	北京	15048
4-5	商业	北京	11453
4-6	商业	北京	11910
4-7	商业	北京	14675
4-8	商业	北京	18661
4-9	商业	北京	18276
4-10	商业	北京	16791
4-11	商业	北京	16930
4-12	商业	北京	13151
4-13	商业	北京	13382
4-14	商业	北京	18904
4-15	商业	北京	17202
4-16	商业	北京	17872
4-17	商业	北京	17504
4-18	商业	北京	15540
4-19	商业	北京	14436
4-20	商业	北京	13361
4-21	商业	北京	17527
4-22	商业	北京	17550
4-23	商业	北京	17083
4-24	商业	北京	18649
4-25	商业	北京	15904
4-26	商业	北京	12973
4-27	商业	北京	13641
4-28	商业	北京	17198
4-29	商业	北京	15527
4-30	商业	北京	13173
5-1	商业	北京	10090
5-2	商业	北京	10806
5-3	商业	北京	13081
5-4	商业	北京	18470
5-5	商业	北京	17531
5-6	商业	北京	17253
5-7	商业	北京	17186
5-8	商业	北京	17275
5-9	商业	北京	15968
5-10	商业	北京	12682
5-11	商业	北京	14612
5-12	商业	北京	18203
5-13	商业	北京	17089
5-14	商业	北京	17036
5-15	商业	北京	16575
5-16	商业	北京	15369
5-17	商业	北京	11856
5-18	商业	北京	12065
5-19	商业	北京	16894
5-20	商业	北京	15830
5-21	商业	北京	15515
5-22	商业	北京	15809
5-23	商业	北京	13626
5-24	商业	北京	12488
5-25	商业	北京	12943
5-26	商业	北京	15785
5-27	商业	北京	16217
5-28	商业	北京	14414
5-29	商业	北京	13219
5-30	商业	北京	11995
5-31	商业	北京	8746
6-1	商业	北京	8972
6-2	商业	北京	9195
6-3	商业	北京	15975
6-4	商业	北京	16387
6-5	商业	北京	16290
6-6	商业	北京	15243
6-7	商业	北京	11759
6-8	商业	北京	12780
6-9	商业	北京	17225
6-10	商业	北京	17043
6-11	商业	北京	15829
6-12	商业	北京	15533
6-13	商业	北京	12683
6-14	商业	北京	9348
6-15	商业	北京	9020
6-16	商业	北京	13559
6-17	商业	北京	12786
6-18	商业	北京	13064
6-19	商业	北京	13139
6-20	商业	北京	12397
6-21	商业	北京	10370
6-22	商业	北京	10576
6-23	商业	北京	13038
6-24	商业	北京	14151
6-25	商业	北京	14643
6-26	商业	北京	12672
6-27	商业	北京	11064
6-28	商业	北京	8991
6-29	商业	北京	9843
6-30	商业	北京	13028
4-1	商业	广州	4588
4-2	商业	广州	4681
4-3	商业	广州	4609
4-4	商业	广州	4045
4-5	商业	广州	3051
4-6	商业	广州	3551
4-7	商业	广州	4543
4-8	商业	广州	4904
4-9	商业	广州	4851
4-10	商业	广州	4638
4-11	商业	广州	4543
4-12	商业	广州	4262
4-13	商业	广州	3811
4-14	商业	广州	4558
4-15	商业	广州	4258
4-16	商业	广州	5387
4-17	商业	广州	5224
4-18	商业	广州	4551
4-19	商业	广州	4201
4-20	商业	广州	4430
4-21	商业	广州	4900
4-22	商业	广州	4957
4-23	商业	广州	4869
4-24	商业	广州	4986
4-25	商业	广州	4943
4-26	商业	广州	4277
4-27	商业	广州	4214
4-28	商业	广州	4593
4-29	商业	广州	4949
4-30	商业	广州	4000
5-1	商业	广州	3136
5-2	商业	广州	3221
5-3	商业	广州	3810
5-4	商业	广州	5462
5-5	商业	广州	5232
5-6	商业	广州	4926
5-7	商业	广州	4965
5-8	商业	广州	5216
5-9	商业	广州	4790
5-10	商业	广州	3852
5-11	商业	广州	4327
5-12	商业	广州	5040
5-13	商业	广州	4655
5-14	商业	广州	4835
5-15	商业	广州	4741
5-16	商业	广州	4639
5-17	商业	广州	3910
5-18	商业	广州	4036
5-19	商业	广州	5574
5-20	商业	广州	5084
5-21	商业	广州	5148
5-22	商业	广州	5265
5-23	商业	广州	4196
5-24	商业	广州	3904
5-25	商业	广州	4438
5-26	商业	广州	4744
5-27	商业	广州	5036
5-28	商业	广州	4540
5-29	商业	广州	4460
5-30	商业	广州	3690
5-31	商业	广州	3377
6-1	商业	广州	3255
6-2	商业	广州	3079
6-3	商业	广州	5032
6-4	商业	广州	5064
6-5	商业	广州	4609
6-6	商业	广州	4351
6-7	商业	广州	4352
6-8	商业	广州	4348
6-9	商业	广州	5362
6-10	商业	广州	5346
6-11	商业	广州	5783
6-12	商业	广州	5088
6-13	商业	广州	4327
6-14	商业	广州	3792
6-15	商业	广州	3417
6-16	商业	广州	4490
6-17	商业	广州	4800
6-18	商业	广州	4134
6-19	商业	广州	4713
6-20	商业	广州	4092
6-21	商业	广州	3954
6-22	商业	广州	4715
6-23	商业	广州	4704
6-24	商业	广州	4391
6-25	商业	广州	4647
6-26	商业	广州	4120
6-27	商业	广州	3916
6-28	商业	广州	3415
6-29	商业	广州	3393
6-30	商业	广州	4294
4-1	商业	上海	16797
4-2	商业	上海	17226
4-3	商业	上海	16505
4-4	商业	上海	14610
4-5	商业	上海	11920
4-6	商业	上海	13133
4-7	商业	上海	15284
4-8	商业	上海	19016
4-9	商业	上海	17574
4-10	商业	上海	17305
4-11	商业	上海	18235
4-12	商业	上海	14618
4-13	商业	上海	14739
4-14	商业	上海	18542
4-15	商业	上海	17085
4-16	商业	上海	18943
4-17	商业	上海	18840
4-18	商业	上海	17012
4-19	商业	上海	16014
4-20	商业	上海	15343
4-21	商业	上海	18982
4-22	商业	上海	18176
4-23	商业	上海	17927
4-24	商业	上海	19369
4-25	商业	上海	16823
4-26	商业	上海	14301
4-27	商业	上海	14331
4-28	商业	上海	17220
4-29	商业	上海	15988
4-30	商业	上海	14653
5-1	商业	上海	10159
5-2	商业	上海	11964
5-3	商业	上海	14532
5-4	商业	上海	19356
5-5	商业	上海	18387
5-6	商业	上海	19208
5-7	商业	上海	18733
5-8	商业	上海	17642
5-9	商业	上海	17909
5-10	商业	上海	15300
5-11	商业	上海	14606
5-12	商业	上海	17930
5-13	商业	上海	18614
5-14	商业	上海	17144
5-15	商业	上海	15998
5-16	商业	上海	14906
5-17	商业	上海	15078
5-18	商业	上海	14617
5-19	商业	上海	17756
5-20	商业	上海	15266
5-21	商业	上海	16861
5-22	商业	上海	18150
5-23	商业	上海	15263
5-24	商业	上海	15255
5-25	商业	上海	13825
5-26	商业	上海	17467
5-27	商业	上海	16224
5-28	商业	上海	15605
5-29	商业	上海	16452
5-30	商业	上海	14205
5-31	商业	上海	12022
6-1	商业	上海	11154
6-2	商业	上海	10568
6-3	商业	上海	16425
6-4	商业	上海	18201
6-5	商业	上海	16152
6-6	商业	上海	15994
6-7	商业	上海	13632
6-8	商业	上海	13674
6-9	商业	上海	16547
6-10	商业	上海	17536
6-11	商业	上海	16784
6-12	商业	上海	16581
6-13	商业	上海	13535
6-14	商业	上海	10334
6-15	商业	上海	11480
6-16	商业	上海	15422
6-17	商业	上海	14698
6-18	商业	上海	14087
6-19	商业	上海	14211
6-20	商业	上海	13314
6-21	商业	上海	12111
6-22	商业	上海	12285
6-23	商业	上海	15585
6-24	商业	上海	15176
6-25	商业	上海	14893
6-26	商业	上海	12893
6-27	商业	上海	12795
6-28	商业	上海	10535
6-29	商业	上海	10535
6-30	商业	上海	14433
4-1	商业	深圳	6912
4-2	商业	深圳	6960
4-3	商业	深圳	6301
4-4	商业	深圳	5872
